comment,likes,author,processed_comment
"Haiii :v
~ 2021 ( masa depan ) wkwk",0,@sellyayufernanda8110,hai v tertawa
Februari 2021,0,@raquelsarang,februari
bisa bisanya aku telat 3 tahunnn omg,0,@erinaarumie,bisa telat ya ampun
2021? Anyone?,0,@ciasilaban933,anyone
2021 masih nonton🤗,0,@incesslaila8491,nonton
Jan 2021 😂,0,@nanasetya6738,jan
Liat 2021 belaik 👁️👄👁️👂,0,@afiyahatt2180,lihat baik
Ada yang liat ulang 2021 gaa? Ato baru liat?,0,@adelyalestari3539,lihat ulang gaa ato lihat
2021 anyone?,0,@ayamgoreng1273,anyone
Januari 2021 😂,0,@anjanibink7112,januari
anjim gue liat di taun 2021 😭,1,@ipungyunitaaa6518,anjim lihat taun
2021 anyone??😂,1,@areumiwenyy,anyone
"2021 nih, ada yg baru nonton juga?",1,@auliamarwahparadhiba,nonton
aku 2024 baru nonton😭,0,@miaamelia3807,nonton
Aku baru liat,1,@fikafika5409,lihat
Aku wkwk,0,@alifyafarahusna2812,tertawa
2021 hehe,2,@kailla3369,hehe
"2021 :')
Here I am",0,@MutiahAlidrus,here i am
2021 Hai,0,@dorisuliana1746,hai
31 desember 2020,0,@dheboramardiana,desember
Desember 2020,0,@nadinediana691,desember
Ka belanja bulanan plisss🙏,0,@devaalrizki9577,kak belanja bulan plis
2020 check?!! 😅,0,@putrins8957,check
Wkwkwkwkkw semuka Sejuta pun nyampe itu neng..😂😂😂,0,@lilassaultriffle7266,wkwkwkwkkw muka juta nyampe neng
"Shopee 12.12 2020, beli pas diskon gede gedean saking ga percaya nya brand murah banget  20-50 ribuan tapi dari luar negeri makannya nyari nyari review dan aku nemu ini ternyata konten 3 tahun lalu.",1,@tri_4n,shopee beli pas diskon gede gede saking percaya nya brand murah banget ribu negeri makan nyari nyari review nemu konten
8 desember 2020,0,@zeatria9557,desember
Perfect.,0,@saqwop5615,perfect
Nancy + somi = tasya,0,@imagrass472,nancy som tasya
November 2020 😂,0,@alsasalsabila5781,november
Keputian ga sih,0,@jesslynn7933,puti sih
Okt 2020 😌,0,@syarifahnurazizah3645,okt
Jelek bacot lagi,0,@sayedjulihan4904,jelek bacot
Bedak tabur nya apa yaah..di cari gak ada,0,@chacabia5016,bedak tabur nya yaah cari
Kk..powder nya apa sih itu..ko q cari gak ada,0,@chacabia5016,kak powder nya sih ko q cari
November 2020,0,@septivirgo6328,november
Nonton pas tahun 2020 okctober,0,@cinnamonroll8580,nonton pas okctober
lightingnya keterangan ga si,0,@14_9c_insviradwin8,lightingnya terang si
23 oktober 2020 😊,0,@nurmlia2429,oktober
Nonton tasya dari gadis sampe punya Lily..,0,@Geulissitarin,nonton tasya gadis lily
Itu keputihan atau gimana?,0,@fitriismayantiparawangsaPAR08,putih gimana
Oktober 2020😂,1,@noviaekaputri8554,oktober
Oktober 2020,0,@intanpurnomo2807,oktober
October 2020 :),1,@rzkns8646,october
Oktober 2020 :),0,@__putriaisyahcahyani223__,oktober
"Pengen beli make up tapi uangnya ga punya? Sekarang kita bisa menghasilkan uang dari rumah pake hp loh dengan aplikasi cashzine sudah di unduh lebih dari 10JT kali di playstore tanpa modal & tanpa KTP aku udah buktiin sendiri hanya dengan membaca artikel dan banyak kuis lainnya lumayan sambil rebahan dapet uang yuk download!!

Bisa pake kode aku : 21813393 🤗
Auto dapet 8000 koin gratis!

Thanks✨",0,@tiasafitri5203,beli make up uang hasil uang rumah pakai hp loh aplikasi cashzine unduh jt kali playstore modal ktp buktiin baca artikel kuis lumayan rebah uang yuk download pakai kode auto koin gratis terima kasih
Yang nonton pas Okt 2020 angkat tangan😂,0,@yulianti6950,nonton pas okt angkat tangan
September 2020😅😁,0,@kittyamorha2881,september
Ngefans❤️❤️❤️,0,@florenflower1112,ngefans
What is this languagee??? <3,0,@sineray7579,what is this languagee
Nonton ulang ini skrg kak tasya udah punya lilly 😂,3,@afifahyuliani3928,nonton ulang skrg kak tasya lilly
Siapa nnton quarantine,2,@nurulfauziah8782,nnton quarantine
Kesini gara2 liat video tasya yg teknik make up baru vs lama wkwkwk,2,@ricakesuma3865,kesini gara lihat video tasya teknik make up vs tertawa
Aku baru tau kalo focallure dah lama ..aku jg pke murah bagus lg,1,@ekowawasobang4489,focallure dah pakai murah bagus lg
Wkwk gue nonton ini dong di 2020🙃,1,@Anispujiii,tertawa nonton
"Mau belajar make-up , kayanya wajib bli produk Focollur . Tapi harga di Taiwan agak mehong kak",1,@ellawinarsih4326,ajar make up kaya wajib bli produk focollur harga taiwan mehong kak
Terang bt ya kak jaman dulu,1,@katvindwisiehprasetiobekti8838,terang bt ya kak jaman
Bagi makeupnya dong kak,0,@luismaharani1894,makeupnya kak
Kak coba pake merk oriflame aku pernah coba itu bagus banget merk nya itu juga punya  auntyku 😊,0,@nabilaauliakhanza7461,kak coba pakai merk oriflame coba bagus banget merk nya auntyku
Is there no english subtitles 🥺,0,@krystal686,is there no english subtitles
Ka kapan give away make up nya,0,@ishasubagja2297,kak give away make up nya
"Selamat malam untuk para viewers Focallure On Brand Makeup Tuorial Ka Tasya, dan untuk para subscriber Ka Tasya. Aku lagi penelitian untuk skripsi kebetulan berkaitan dgn focallure one brand makeup tutorial ka Tasya, dan studi kasus nya pada viewers video Ka Tasya. Karna itu aku mohon bantuannya untuk pengisian kuesioner nya ya:) berikut link nya, https://forms.gle/tBMn5Lv911eSCFxWA . Terimakasih<3",0,@pujakartika4126,selamat malam viewers focallure on brand makeup tuorial kak tasya subscriber kak tasya teliti skripsi kait focallure one brand makeup tutorial kak tasya studi nya viewers video kak tasya mohon bantu isi kuesioner nya ya link nya terimakasih
2020 di muncul beranda ngumpul,0,@pan3061,muncul beranda ngumpul
Tengkyu kak duh otw beli pokoknya,0,@Azellbermain,tengkyu kak duh jalan beli pokok
Aku baru nonton di tahun 2020,0,@ifamuzdalifah8087,nonton
She’s so pretty but i cannot understand what does she say:(,0,@genevievebui5223,she s so pretty but i cannot understand what does she say
"ka Tasya,,Lighting nya terlalu teraaangg ...",0,@nandosanjaya2741,kak tasya lighting nya terangg
"kak, bisa engga pose kayak gitu engga di thumbnailnya? hehe krn aku jujur aja sebagai org yang keturunan cina yg tinggal di indonesia merasa tersindir. karena jujur aja pose itu rasis",0,@clarissa3356,kak engga pose kayak engga thumbnailnya hehe jujur orang turun cina tinggal indonesia sindir jujur pose ras
Focallure dan implora Auto aq lngsng bli sejak pantengin tasya horang kaya dn gk sombong Farasya🤣🤣🤣,0,@sisnurul5230,focallure implora auto lngsng bli pantengin tasya horang kaya dn sombong farasya
aku yg lihat di 2020 quarantine : 👁👄👁,0,@ilsssea,lihat quarantine
"Bagi aku mahal kalo beli lengkap, tapi murah klo beli satuan:')",2,@selalalaarttt6912,mahal beli lengkap murah beli satu
Nonton tadi pagi. Siang langsung beli😂. Bener2 kak Tasya kasih racun,0,@eminovitasari7479,nonton pagi siang langsung beli bener kak tasya kasih racun
26 juni 2020 ada yg masih nonton 😁😍,0,@puputnurdiansafitri8840,juni nonton
"Video tasya pertama yg ak liat  pas ak kuliah, sekarang ak udh nikah dan hamil jg ky tasya",1,@ainirizqiyapramesti367,video tasya ak lihat pas ak kuliah ak nikah hamil ky tasya
Lebay bgt sihh ngomongnya,0,@hanyapriyanti5055,lebay banget sihh ngomongnya
Make up beli dipasar dong,0,@nadiatulshafiqoh3010,make up beli pasar
Kak makeup di bawah 20 ribu dong,0,@anandariski1474,kak makeup ribu
Juni 2020..😂,1,@auulials,juni
2020 ada yang masih nonton kah 😂😂,1,@dheira8413,nonton kah
Bru nonton hehe,0,@putridhyasayuprameswari3244,bru nonton hehe
Gua baru lihat d bulan juli 2020 gara gara d beliin doi 1 set make up focallure,0,@ayumudrikahalmuzamzamah4210,gua lihat d juli gara gara d beliin doi set make up focallure
Keputihan bgt si,0,@lutfitempursari7783,putih banget si
gaada yg peduli lu mau nonton di bulan apa dan tahun apa.,0,@thalia7688,gaada peduli lu nonton
Gabosen rewatch video ka Tasya yang iniii🥰🥰🥰✨,2,@salshanurfadilah8137,gabosen rewatch video kak tasya
yang nonton bulan ramadhan?👍😂,0,@dinaafz,nonton ramadhan
Awal racunku pada focallure😂❤️,0,@kimbaekhna2529,racun focallure
Uwu bgt,1,@renipuspitadewi873,uwu banget
mei 2020(((:,0,@nalasatti2188,mei
Ahhhh ka tasyaa makeup nya baguss bngtt sumpahh. Tapi kalo aku sendiri lebih suka yg sebelum pake lipstik gtu hehe,0,@hanilaelani3802,ah kak tasyaa makeup nya baguss bngtt sumpahh suka pakai lipstik gtu hehe
"Pengin belajar make up.  Tapi gak punya apa2.  :(
Pingin buka jasa make up pengantin",0,@sarinahaii9982,pengin ajar make up pingin buka jasa make up pengantin
Ada yang nonton 2020 bulan Mei?,0,@sabilaaulia2040,nonton mei
April 2020 mAsih nonton mana suaranya,1,@faridahnazwakharam9737,april nonton suara
Ligcawesdxzsddrty,0,@novaauliatulfitrifitri1713,ligcawesdxzsddrty
Mascaranya waterproof ga si kak,0,@nanaalvinaa5569,mascaranya waterproof si kak
Kalau make up jya aja ngelebihin MUA plus pinter dandan nikahan gak usah panggil salon😂,1,@nurulistikomah9606,make up jya ngelebihin mua plus pinter dandan nikah panggil salon
"Beli make up kayak gini 1.114.00 juta tapi worth it sih
Tanpa onkir loh",1,@ruthaprilia0909,beli make up kayak juta worth it sih onkir loh
April 2020 anyone here?,0,@farizag8615,april anyone here
Baru liat 2020,0,@febimonica9526,lihat
Mba pernah ada yg bilang mirip Elizabeth Gillies ngga?,0,@juleszszsz,mba bilang elizabeth gillies
Sudah 3 tahun yg lalu.. Waktu begitu cepat berlalu ya.. Waktu dulu nonton masih anak satu. Sekarang nonton lagi sudah anak dua.. Dan yg punya channel sudah hamil tua. Huwaahhh can't wait to see you ngemong anak tasy. Hihi. Masih punya banyak waktu ga ya buat make up? Hehehe,2,@Mamisyar,cepat ya nonton anak nonton anak channel hamil tua huwaah can t wait to see you ngemong anak tasy hihi ya make up tertawa
8 april 2020 Duns,0,@feliciazefanya1803,april duns
"kakk rainbow highlighter yang kakak pake aku punya juga lhoo
hihihi",0,@elenalydia1315,kakk rainbow highlighter kakak pakai lhoo hihihi
april 2020 when corona,0,@blessintajoice1074,april when corona
April 2020? 🤣,0,@divaputi1714,april
2020 ada ?? gilee baru tau produknya masa wkwkwk,2,@fatrisialorentamarpaung3007,gilee produk tertawa
Kalo foundation nya bagus ga kak?,0,@putrieviita3733,foundation nya bagus kak
Gua baru beli hari ini produk focallur,0,@imasdarurrokhmah614,gua beli produk focallur
"2 tahun lalu  
Gua: hahhhh😮🤪😶",0,@cwemu7530,gua hah
2020 bulan Maret:),0,@cindytheresia6234,maret
Bagi kami itu mahal. 🙂,0,@englaoktaviska9378,mahal
Kak kira2 ini tahan gak buat wisuda???,0,@meriyanti5980,kak tahan wisuda
Racun,0,@tripamungkas9025,racun
"kaa,higl nya itu boleh buat anak smp gak ka bantu jawab ya",0,@shi_s-j7w,kak higl nya anak smp kak bantu ya
"video nya byk yg di skip, tiba2 jd gitu",0,@strawberryteamajauy,video nya byk skip
Katanya poweder nya anti air,0,@zaedbinwahab5558,poweder nya anti air
yang mau coba focallure bisa beli di ig @samsteur 💕,0,@SammyTheresia,coba focallure beli ig
aku kayak liat shirin.  cara ngomongnya pun samaaa,0,@meilisalsabila,kayak lihat shirin ngomongnya
Kalo Tasya dari 2017 dan gue baru liat di akhir Februari 2020😂,0,@akunyoutubekuu,tasya lihat februari
Eyeliner focallur ku ilang..  😔,0,@dessywinterhill4971,eyeliner focallur ku ilang
Bagaimna pun makeupnya kalo orangnya bisa makeup dan cantik yah Bagus,0,@ads2796,bagaimna makeupnya orang makeup cantik yah bagus
February 2020?,0,@nandayudheaputri4621,february
Eyeshadow palet lebih kok kak dri 100 ribu,0,@indahkusumawardani9806,eyeshadow palet kak dri ribu
Aku dong bingung nyari2 makeup buat seserahan dan baru sekarang tau ni merek makeup.. 2020 🤣🤣,0,@noorhasanah3588,bingung nyari makeup serah ni merek makeup
"Hallo semuanya.. Nama saya Michele Tezser, mahasiswi Public Relations  Universitas Mercu Buana. 
Saya ingin meminta kesediaan temen-temen Youtube khususnya para subscriber kak Tasya Farasya untuk mengisi kuesioner tentang pengaruh celebrity endorser terhadap brand image Focallure  dalam rangka memenuhi Tugas Akhir saya.
Berikut saya lampirkan link google form utk pengisian kuesioner nya ya teman-teman:
https://docs.google.com/forms/d/e/1FAIpQLSd9yuthu9c9sX4GV2C9hZqPQ2qbYzF1VickOqcHQL1Qlg_uPQ/viewform?usp=sf_link

Terima Kasih. Semoga teman-teman semua sehat dan dilancarkan selalu rezeki nya. Aaamiinn",0,@michelletezser4651,hallo nama michele tezser mahasiswi public relations universitas mercu buana sedia temen temen youtube subscriber kak tasya farasya isi kuesioner pengaruh celebrity endorser brand image focallure rangka penuh tugas lampir link google form isi kuesioner nya ya teman teman terima kasih moga teman teman sehat lancar rezeki nya amiinn
Baru liat di januari 2020😶,1,@farahcalluella9035,lihat januari
Duh cantik bgt... Maksudnya orang nya... Blm makeup aja udah cantik...,0,@andrijaniani4244,duh cantik banget maksud orang nya makeup cantik
"Beli di shoope yg di luar negri gt , itu aman ga sih maksudnya ga palsu kan ?",0,@rachmaavirra1335,beli shoope negri gt aman sih maksud palsu
11 januari 2020😄😄,0,@erikaindahmawarni4339,januari
“sumpah aku biasanya pake barang mahal” hadeuu kak oper aja deh brg kk kl yg mahal bisa ditandingin yg murah😭😂,0,@hsnulkhtmah,sumpah pakai barang mahal hadeuu kak oper deh brg kak kl mahal ditandingin murah
"Ini review tahun brp ? Jd sejarahnya, abis direview tasya, focallure jd lebih booming trus mrk naekin harga.",0,@firdaussetiawan3534,review brp sejarah abis direview tasya focallure booming mrk naekin harga
Beli di official ya lah,0,@asmarhusein1812,beli official ya
 @asmarhusein1812  santuy bossss,0,@rachmaavirra1335,santuy bos
"2k20 hmmm:"")",0,@artikasari9443,k hm
"Kak, aku liat d shopee kok hrganya mahal2 ya trus ars fashion yg di tangerang ga buka di shopee apa? Ongkirnya jd mahal bgt klo dari pontianak :(",0,@Narayanamasfaputri,kak lihat d shopee hrganya mahal ya ars fashion tangerang buka shopee ongkirnya mahal banget pontianak
"Entah ini vidio berapa tahun yg lalu,aku baru nonton 2020",1,@irnapalebee1462,vidio nonton
Highliter powder nya juga bgus kokk,0,@ditaa5427,highliter powder nya bgus kokk
2020 anyone?  😂😂😂,1K,@liztr94,anyone
"Santuy, gua baru liat di hari pertama tahun 2020",0,@adiskaorvam6460,santuy gua lihat
1 januari 2020.,0,@santinurjanah6776,januari
"yaampun aku baru nonton 31 Desember 2019 ,btw bsk tahun baru 💞",1,@ochaasoka0098,yaampun nonton desember ngomong-ngomong bsk
"Kesini karena diskon lazada akhir tahun 2019, gila 😂",1,@missa1197,kesini diskon lazada gila
Yg kemenit 14:59 suaranya heeeee nyeremin kak,0,@letsnanaytutorial3154,menit suara he nyeremin kak
Adakah yang jual tepung di sini,0,@mulaimall5216,ada jual tepung
27 disember 2019 🙂🔥,2,@itsmenia569,sember
Low price & high quality cek ig @als_cosmetic,0,@arifrahmanhakim8109,low price high quality cek ig
23 desember 2019 ada yang nonton engga,2,@ulfahkardini1707,desember nonton engga
"21 Desember 2019 ada yang baru nonton? 

Keracunan shopee 🤣",31,@anggasaputra4703,desember nonton racun shopee
Berasa liat barbara palvin,0,@sapiarab3196,asa lihat barbara palvin
"Apa cuma gue yang ngerasa harga focallure naik tajam rata"" diatas 100k",0,@Trilaulaa,harga focallure tajam atas k
Tpi pallet buerning lebih dri 100??,0,@amandajs5476,tpi pallet buerning dri
Kuu:v,1,@febriliaa5217,kuu v
Ak,1,@pelangitirtaamelia_adminis9152,ak
Kiww,1,@callmeecha3090,kiww
Akuu,1,@malaikaalmadina2936,akuu
me,1,@babysindah9395,me
akuuuu😂 baru batt nontonn,1,@kiaaminta6826,batt nontonn
Kyuuu,1,@maur1nk_938,kyu
W,1,@nayangsari2683,w
Me,1,@jussyaarshy5890,me
Akuu,1,@hartinimenantii4910,akuu
3 September 2020 hadir,1,@yyoooii,september hadir
2022 ka 🤣,1,@biandarialmeera2515,kak
"akuu, mau tanya dong kak kok aku beli lipstik nya bau gk enak gitu, knpa yah? eyeshadow pencil nya jg klo dipake mata agak panas?? bantu jawab dong pls",0,@syfapvnse3242,akuu kak beli lipstik nya bau enak knpa yah eyeshadow pencil nya dipake mata panas bantu tolong
 @syfapvnse3242  order dimana itu kak?,0,@auliapinky9611,order mana kak
Belinya dimana ya. Gw ngerasa pake yg palsu 😥,0,@ceritacipe4666,beli mana ya pakai palsu
Kak Cips beli di shopee yg official shop itu dr luar negeri ^^,1,@ilsssea,kak cips beli shopee official shop negeri
" @ceritacipe4666  kalo beli di olshop harus hati hati jangan lupa liatin komentar pembeli nya gimana bagus apa ngga, kalo di lampung aku tau star seller yang bagus namanya sumber ayu dishoppe ada di ig nya juga ada, bahkan toko nya pun jelas tempatnya jadi aman",0,@dinasaen4663,beli online shop hati hati lupa liatin komentar beli nya gimana bagus lampung star seller bagus nama sumber ayu dishoppe ig nya toko nya tempat aman
Ya karna muncul di beranda lagi kali ya,0,@tudechaksu9424,ya muncul beranda kali ya
Ya,0,@ZeR0_Yuki,ya
I am,0,@hanarch93,i am
Akiu,0,@savirafaradinar8097,akiu
Hey,0,@Auvrayn,hey
Yoow ✌,0,@annasmaruf2675,yoow
Mee,0,@loveu2232,mee
Meh,0,@sierraapritta8059,meh
Me,0,@flely2728,me
😂😂ak,0,@cpmaretha,ak
Here I Am  👌😂😁💋💞💖,0,@elokfaiqikhtiari6357,here i am
Saya kaget melihat nya:),0,@Shellyethefish,kaget nya
Yuk order di shopee ku nrahmadw produk focallure & o two o murah2 original🥰,0,@rahmadewi8796,yuk order shopee ku nrahmadw produk focallure o two o murah original
