comment_raw,comment_preprocessing,label_sentimen
"Ka tasyaa tibaa"" nemu ini di april 2021 wkwk katasya masih imut bangetssss 😭😍",kak tasyaa tibaa nemu april tertawa katasya imut bangets,netral
KA riview make up otwoo KA🙏,kak riview make up otwoo kak,netral
2021 wkwk,tertawa,netral
2021 anyone🙂,anyone,netral
Maret ada nih ??,maret,netral
Baru nntn ini di 2021.. ada yg sma?,nntn sma,netral
Aku nonton di 2021😭 maaf tekat 3 tahun 😭,nonton maaf tekat,netral
Aku baru tau skrg...& Aku bli cuma 42rb...super amaziiiinggg...,skrg bli rb super amazing,netral
2021 anyone 🤣🤪,anyone,netral
March 2021,march,netral
Mana yg nonton 2021 🙂,nonton,netral
2021 baru nonton 😂😂😂,nonton,netral
2021 maap🤣,maap,netral
"Selamat Pagi/Siang/Sore

Perkenalkan nama saya Yuni Astuti mahasiswi Public Relations Universitas Mercu Buana yang sedang melakukan penelitian mengenai Pengaruh Penggunaan Youtube One Brand Make Up Tutorial Tasya Farasya Terhadap Peningkatan Citra Focallure untuk keperluan Tugas Akhir S1 yang saat ini saya jalani.

Adapun kriteria dalam penelitian adalah sebagai berikut:
1.	Perempuan
2.	Berusia 18-34 tahun
3.	Viewers video One Brand Make Up Tutorial “Focallure” Tasya Farasya

Saya berharap Saudari memberikan kesediaan waktunya untuk berpartisipasi dalam menjawab kuesioner ini secara tepat. 

Berikut Link untuk pengisian google form : 
https://forms.gle/2iozvxZxMybdjVd19

Atas bantuan kalian dalam pengisian kuesioner ini, saya ucapkan terimakasih.",selamat pagi siang sore kenal nama yuni astuti mahasiswi public relations universitas mercu buana teliti pengaruh guna youtube one brand make up tutorial tasya farasya tingkat citra focallure perlu tugas s jalan kriteria teliti perempuan usia viewers video one brand make up tutorial focallure tasya farasya harap saudari sedia partisipasi kuesioner link isi google form bantu isi kuesioner ucap terimakasih,netral
2021 here?,here,netral
2021 guys?😂😂😂,guys,netral
"Makin sini makin muda😭
Btw 2021",muda ngomong-ngomong,netral
17 februari 2021 :),februari,netral
Dulu udh nonton trs balik nonton lagi liat tasya Disini kurus bgt,nonton nonton lihat tasya kurus banget,netral
"Karena nonton Tasya aku jadi otw beli Focallure, dan jadi suka banget sama Focallure.",nonton tasya jalan beli focallure suka banget focallure,positif
Februari 2021 dong :),februari,netral
februari 2021🙏,februari,netral
"Ada yg masih lihat tutorial makeup nya bulan februari 2021, kallo ada kita satu server 🤭😁",lihat tutorial makeup nya februari kallo server,netral
Yang baru nonton 2021 😭❤,nonton,netral
"OMG!!!! Kak Tasyaaaaaa.... Kk tau gak sih???? Video kk ini thumbnail nya di jadiiin foto sama Official Focallure di aplikasi olshop China 😱😱😱 btw aku tinggal di China, salam kenal ya kak 🥰🤗😘

Keren abis sumpah 👏👏",ya ampun kak tasya kak sih video kak thumbnail nya jadin foto official focallure aplikasi online shop china ngomong-ngomong tinggal china salam kenal ya kak keren abis sumpah,positif
Pasti gaada yang nonton di 2021,gaada nonton,netral
"Haiii :v
~ 2021 ( masa depan ) wkwk",hai v tertawa,netral
Februari 2021,februari,netral
bisa bisanya aku telat 3 tahunnn omg,bisa telat ya ampun,netral
2021? Anyone?,anyone,netral
2021 masih nonton🤗,nonton,netral
Jan 2021 😂,jan,netral
Liat 2021 belaik 👁️👄👁️👂,lihat baik,netral
Ada yang liat ulang 2021 gaa? Ato baru liat?,lihat ulang gaa ato lihat,netral
2021 anyone?,anyone,netral
Januari 2021 😂,januari,netral
anjim gue liat di taun 2021 😭,anjim lihat taun,netral
2021 anyone??😂,anyone,netral
"2021 nih, ada yg baru nonton juga?",nonton,netral
aku 2024 baru nonton😭,nonton,netral
Aku baru liat,lihat,netral
Aku wkwk,tertawa,netral
2021 hehe,hehe,netral
"2021 :')
Here I am",here i am,netral
2021 Hai,hai,netral
31 desember 2020,desember,netral
Desember 2020,desember,netral
Ka belanja bulanan plisss🙏,kak belanja bulan plis,netral
2020 check?!! 😅,check,netral
Wkwkwkwkkw semuka Sejuta pun nyampe itu neng..😂😂😂,wkwkwkwkkw muka juta nyampe neng,netral
"Shopee 12.12 2020, beli pas diskon gede gedean saking ga percaya nya brand murah banget  20-50 ribuan tapi dari luar negeri makannya nyari nyari review dan aku nemu ini ternyata konten 3 tahun lalu.",shopee beli pas diskon gede gede saking percaya nya brand murah banget ribu negeri makan nyari nyari review nemu konten,positif
8 desember 2020,desember,netral
Perfect.,perfect,netral
Nancy + somi = tasya,nancy som tasya,netral
November 2020 😂,november,netral
Keputian ga sih,puti sih,netral
Okt 2020 😌,okt,netral
Jelek bacot lagi,jelek bacot,negatif
Bedak tabur nya apa yaah..di cari gak ada,bedak tabur nya yaah cari,netral
Kk..powder nya apa sih itu..ko q cari gak ada,kak powder nya sih ko q cari,netral
November 2020,november,netral
Nonton pas tahun 2020 okctober,nonton pas okctober,netral
lightingnya keterangan ga si,lightingnya terang si,netral
23 oktober 2020 😊,oktober,netral
Nonton tasya dari gadis sampe punya Lily..,nonton tasya gadis lily,netral
Itu keputihan atau gimana?,putih gimana,negatif
Oktober 2020😂,oktober,netral
Oktober 2020,oktober,netral
October 2020 :),october,netral
Oktober 2020 :),oktober,netral
"Pengen beli make up tapi uangnya ga punya? Sekarang kita bisa menghasilkan uang dari rumah pake hp loh dengan aplikasi cashzine sudah di unduh lebih dari 10JT kali di playstore tanpa modal & tanpa KTP aku udah buktiin sendiri hanya dengan membaca artikel dan banyak kuis lainnya lumayan sambil rebahan dapet uang yuk download!!

Bisa pake kode aku : 21813393 🤗
Auto dapet 8000 koin gratis!

Thanks✨",beli make up uang hasil uang rumah pakai hp loh aplikasi cashzine unduh jt kali playstore modal ktp buktiin baca artikel kuis lumayan rebah uang yuk download pakai kode auto koin gratis terima kasih,positif
Yang nonton pas Okt 2020 angkat tangan😂,nonton pas okt angkat tangan,netral
September 2020😅😁,september,netral
Ngefans❤️❤️❤️,ngefans,netral
What is this languagee??? <3,what is this languagee,netral
Nonton ulang ini skrg kak tasya udah punya lilly 😂,nonton ulang skrg kak tasya lilly,netral
Siapa nnton quarantine,nnton quarantine,netral
Kesini gara2 liat video tasya yg teknik make up baru vs lama wkwkwk,kesini gara lihat video tasya teknik make up vs tertawa,netral
Aku baru tau kalo focallure dah lama ..aku jg pke murah bagus lg,focallure dah pakai murah bagus lg,positif
Wkwk gue nonton ini dong di 2020🙃,tertawa nonton,netral
"Mau belajar make-up , kayanya wajib bli produk Focollur . Tapi harga di Taiwan agak mehong kak",ajar make up kaya wajib bli produk focollur harga taiwan mehong kak,netral
Terang bt ya kak jaman dulu,terang bt ya kak jaman,netral
Bagi makeupnya dong kak,makeupnya kak,netral
Kak coba pake merk oriflame aku pernah coba itu bagus banget merk nya itu juga punya  auntyku 😊,kak coba pakai merk oriflame coba bagus banget merk nya auntyku,positif
Is there no english subtitles 🥺,is there no english subtitles,netral
Ka kapan give away make up nya,kak give away make up nya,netral
"Selamat malam untuk para viewers Focallure On Brand Makeup Tuorial Ka Tasya, dan untuk para subscriber Ka Tasya. Aku lagi penelitian untuk skripsi kebetulan berkaitan dgn focallure one brand makeup tutorial ka Tasya, dan studi kasus nya pada viewers video Ka Tasya. Karna itu aku mohon bantuannya untuk pengisian kuesioner nya ya:) berikut link nya, https://forms.gle/tBMn5Lv911eSCFxWA . Terimakasih<3",selamat malam viewers focallure on brand makeup tuorial kak tasya subscriber kak tasya teliti skripsi kait focallure one brand makeup tutorial kak tasya studi nya viewers video kak tasya mohon bantu isi kuesioner nya ya link nya terimakasih,netral
2020 di muncul beranda ngumpul,muncul beranda ngumpul,netral
Tengkyu kak duh otw beli pokoknya,tengkyu kak duh jalan beli pokok,positif
Aku baru nonton di tahun 2020,nonton,netral
She’s so pretty but i cannot understand what does she say:(,she s so pretty but i cannot understand what does she say,netral
"ka Tasya,,Lighting nya terlalu teraaangg ...",kak tasya lighting nya terangg,netral
"kak, bisa engga pose kayak gitu engga di thumbnailnya? hehe krn aku jujur aja sebagai org yang keturunan cina yg tinggal di indonesia merasa tersindir. karena jujur aja pose itu rasis",kak engga pose kayak engga thumbnailnya hehe jujur orang turun cina tinggal indonesia sindir jujur pose ras,netral
Focallure dan implora Auto aq lngsng bli sejak pantengin tasya horang kaya dn gk sombong Farasya🤣🤣🤣,focallure implora auto lngsng bli pantengin tasya horang kaya dn sombong farasya,netral
aku yg lihat di 2020 quarantine : 👁👄👁,lihat quarantine,netral
"Bagi aku mahal kalo beli lengkap, tapi murah klo beli satuan:')",mahal beli lengkap murah beli satu,negatif
Nonton tadi pagi. Siang langsung beli😂. Bener2 kak Tasya kasih racun,nonton pagi siang langsung beli bener kak tasya kasih racun,positif
26 juni 2020 ada yg masih nonton 😁😍,juni nonton,netral
"Video tasya pertama yg ak liat  pas ak kuliah, sekarang ak udh nikah dan hamil jg ky tasya",video tasya ak lihat pas ak kuliah ak nikah hamil ky tasya,netral
Lebay bgt sihh ngomongnya,lebay banget sihh ngomongnya,netral
Make up beli dipasar dong,make up beli pasar,positif
Kak makeup di bawah 20 ribu dong,kak makeup ribu,netral
Juni 2020..😂,juni,netral
2020 ada yang masih nonton kah 😂😂,nonton kah,netral
Bru nonton hehe,bru nonton hehe,netral
Gua baru lihat d bulan juli 2020 gara gara d beliin doi 1 set make up focallure,gua lihat d juli gara gara d beliin doi set make up focallure,positif
Keputihan bgt si,putih banget si,negatif
gaada yg peduli lu mau nonton di bulan apa dan tahun apa.,gaada peduli lu nonton,netral
Gabosen rewatch video ka Tasya yang iniii🥰🥰🥰✨,gabosen rewatch video kak tasya,netral
yang nonton bulan ramadhan?👍😂,nonton ramadhan,netral
Awal racunku pada focallure😂❤️,racun focallure,positif
Uwu bgt,uwu banget,netral
mei 2020(((:,mei,netral
Ahhhh ka tasyaa makeup nya baguss bngtt sumpahh. Tapi kalo aku sendiri lebih suka yg sebelum pake lipstik gtu hehe,ah kak tasyaa makeup nya baguss bngtt sumpahh suka pakai lipstik gtu hehe,positif
"Pengin belajar make up.  Tapi gak punya apa2.  :(
Pingin buka jasa make up pengantin",pengin ajar make up pingin buka jasa make up pengantin,netral
Ada yang nonton 2020 bulan Mei?,nonton mei,netral
April 2020 mAsih nonton mana suaranya,april nonton suara,netral
Ligcawesdxzsddrty,ligcawesdxzsddrty,netral
Mascaranya waterproof ga si kak,mascaranya waterproof si kak,netral
Kalau make up jya aja ngelebihin MUA plus pinter dandan nikahan gak usah panggil salon😂,make up jya ngelebihin mua plus pinter dandan nikah panggil salon,netral
"Beli make up kayak gini 1.114.00 juta tapi worth it sih
Tanpa onkir loh",beli make up kayak juta worth it sih onkir loh,positif
April 2020 anyone here?,april anyone here,netral
Baru liat 2020,lihat,netral
Mba pernah ada yg bilang mirip Elizabeth Gillies ngga?,mba bilang elizabeth gillies,netral
Sudah 3 tahun yg lalu.. Waktu begitu cepat berlalu ya.. Waktu dulu nonton masih anak satu. Sekarang nonton lagi sudah anak dua.. Dan yg punya channel sudah hamil tua. Huwaahhh can't wait to see you ngemong anak tasy. Hihi. Masih punya banyak waktu ga ya buat make up? Hehehe,cepat ya nonton anak nonton anak channel hamil tua huwaah can t wait to see you ngemong anak tasy hihi ya make up tertawa,netral
8 april 2020 Duns,april duns,netral
"kakk rainbow highlighter yang kakak pake aku punya juga lhoo
hihihi",kakk rainbow highlighter kakak pakai lhoo hihihi,netral
april 2020 when corona,april when corona,netral
April 2020? 🤣,april,netral
2020 ada ?? gilee baru tau produknya masa wkwkwk,gilee produk tertawa,netral
Kalo foundation nya bagus ga kak?,foundation nya bagus kak,positif
Gua baru beli hari ini produk focallur,gua beli produk focallur,positif
"2 tahun lalu  
Gua: hahhhh😮🤪😶",gua hah,netral
2020 bulan Maret:),maret,netral
Bagi kami itu mahal. 🙂,mahal,negatif
Kak kira2 ini tahan gak buat wisuda???,kak tahan wisuda,netral
Racun,racun,positif
"kaa,higl nya itu boleh buat anak smp gak ka bantu jawab ya",kak higl nya anak smp kak bantu ya,netral
"video nya byk yg di skip, tiba2 jd gitu",video nya byk skip,netral
Katanya poweder nya anti air,poweder nya anti air,netral
yang mau coba focallure bisa beli di ig @samsteur 💕,coba focallure beli ig,positif
aku kayak liat shirin.  cara ngomongnya pun samaaa,kayak lihat shirin ngomongnya,netral
Kalo Tasya dari 2017 dan gue baru liat di akhir Februari 2020😂,tasya lihat februari,netral
Eyeliner focallur ku ilang..  😔,eyeliner focallur ku ilang,netral
Bagaimna pun makeupnya kalo orangnya bisa makeup dan cantik yah Bagus,bagaimna makeupnya orang makeup cantik yah bagus,positif
February 2020?,february,netral
Eyeshadow palet lebih kok kak dri 100 ribu,eyeshadow palet kak dri ribu,netral
Aku dong bingung nyari2 makeup buat seserahan dan baru sekarang tau ni merek makeup.. 2020 🤣🤣,bingung nyari makeup serah ni merek makeup,netral
"Hallo semuanya.. Nama saya Michele Tezser, mahasiswi Public Relations  Universitas Mercu Buana. 
Saya ingin meminta kesediaan temen-temen Youtube khususnya para subscriber kak Tasya Farasya untuk mengisi kuesioner tentang pengaruh celebrity endorser terhadap brand image Focallure  dalam rangka memenuhi Tugas Akhir saya.
Berikut saya lampirkan link google form utk pengisian kuesioner nya ya teman-teman:
https://docs.google.com/forms/d/e/1FAIpQLSd9yuthu9c9sX4GV2C9hZqPQ2qbYzF1VickOqcHQL1Qlg_uPQ/viewform?usp=sf_link

Terima Kasih. Semoga teman-teman semua sehat dan dilancarkan selalu rezeki nya. Aaamiinn",hallo nama michele tezser mahasiswi public relations universitas mercu buana sedia temen temen youtube subscriber kak tasya farasya isi kuesioner pengaruh celebrity endorser brand image focallure rangka penuh tugas lampir link google form isi kuesioner nya ya teman teman terima kasih moga teman teman sehat lancar rezeki nya amiinn,negatif
Baru liat di januari 2020😶,lihat januari,netral
Duh cantik bgt... Maksudnya orang nya... Blm makeup aja udah cantik...,duh cantik banget maksud orang nya makeup cantik,positif
"Beli di shoope yg di luar negri gt , itu aman ga sih maksudnya ga palsu kan ?",beli shoope negri gt aman sih maksud palsu,positif
11 januari 2020😄😄,januari,netral
“sumpah aku biasanya pake barang mahal” hadeuu kak oper aja deh brg kk kl yg mahal bisa ditandingin yg murah😭😂,sumpah pakai barang mahal hadeuu kak oper deh brg kak kl mahal ditandingin murah,negatif
"Ini review tahun brp ? Jd sejarahnya, abis direview tasya, focallure jd lebih booming trus mrk naekin harga.",review brp sejarah abis direview tasya focallure booming mrk naekin harga,netral
Beli di official ya lah,beli official ya,positif
 @asmarhusein1812  santuy bossss,santuy bos,netral
"2k20 hmmm:"")",k hm,netral
"Kak, aku liat d shopee kok hrganya mahal2 ya trus ars fashion yg di tangerang ga buka di shopee apa? Ongkirnya jd mahal bgt klo dari pontianak :(",kak lihat d shopee hrganya mahal ya ars fashion tangerang buka shopee ongkirnya mahal banget pontianak,negatif
"Entah ini vidio berapa tahun yg lalu,aku baru nonton 2020",vidio nonton,netral
Highliter powder nya juga bgus kokk,highliter powder nya bgus kokk,netral
2020 anyone?  😂😂😂,anyone,netral
"Santuy, gua baru liat di hari pertama tahun 2020",santuy gua lihat,netral
1 januari 2020.,januari,netral
"yaampun aku baru nonton 31 Desember 2019 ,btw bsk tahun baru 💞",yaampun nonton desember ngomong-ngomong bsk,netral
"Kesini karena diskon lazada akhir tahun 2019, gila 😂",kesini diskon lazada gila,netral
Yg kemenit 14:59 suaranya heeeee nyeremin kak,menit suara he nyeremin kak,netral
Adakah yang jual tepung di sini,ada jual tepung,netral
27 disember 2019 🙂🔥,sember,netral
Low price & high quality cek ig @als_cosmetic,low price high quality cek ig,netral
23 desember 2019 ada yang nonton engga,desember nonton engga,netral
"21 Desember 2019 ada yang baru nonton? 

Keracunan shopee 🤣",desember nonton racun shopee,positif
Berasa liat barbara palvin,asa lihat barbara palvin,netral
"Apa cuma gue yang ngerasa harga focallure naik tajam rata"" diatas 100k",harga focallure tajam atas k,netral
Tpi pallet buerning lebih dri 100??,tpi pallet buerning dri,netral
Kuu:v,kuu v,netral
Ak,ak,netral
Kiww,kiww,netral
Akuu,akuu,netral
me,me,netral
akuuuu😂 baru batt nontonn,batt nontonn,netral
Kyuuu,kyu,netral
W,w,netral
Me,me,netral
Akuu,akuu,netral
3 September 2020 hadir,september hadir,netral
2022 ka 🤣,kak,netral
"akuu, mau tanya dong kak kok aku beli lipstik nya bau gk enak gitu, knpa yah? eyeshadow pencil nya jg klo dipake mata agak panas?? bantu jawab dong pls",akuu kak beli lipstik nya bau enak knpa yah eyeshadow pencil nya dipake mata panas bantu tolong,positif
 @syfapvnse3242  order dimana itu kak?,order mana kak,netral
Belinya dimana ya. Gw ngerasa pake yg palsu 😥,beli mana ya pakai palsu,positif
Kak Cips beli di shopee yg official shop itu dr luar negeri ^^,kak cips beli shopee official shop negeri,positif
" @ceritacipe4666  kalo beli di olshop harus hati hati jangan lupa liatin komentar pembeli nya gimana bagus apa ngga, kalo di lampung aku tau star seller yang bagus namanya sumber ayu dishoppe ada di ig nya juga ada, bahkan toko nya pun jelas tempatnya jadi aman",beli online shop hati hati lupa liatin komentar beli nya gimana bagus lampung star seller bagus nama sumber ayu dishoppe ig nya toko nya tempat aman,positif
Ya karna muncul di beranda lagi kali ya,ya muncul beranda kali ya,netral
Ya,ya,netral
I am,i am,netral
Akiu,akiu,netral
Hey,hey,netral
Yoow ✌,yoow,netral
Mee,mee,netral
Meh,meh,netral
Me,me,netral
😂😂ak,ak,netral
Here I Am  👌😂😁💋💞💖,here i am,netral
Saya kaget melihat nya:),kaget nya,netral
Yuk order di shopee ku nrahmadw produk focallure & o two o murah2 original🥰,yuk order shopee ku nrahmadw produk focallure o two o murah original,positif
Me😹,me,netral
2021 bru nontn. 😂,bru nontn,netral
W nonton ini 2021 beb,w nonton beb,netral
UU,uu,netral
2021anyone,anyone,netral
Who is she? I am following her but I don't about her?,who is she i am following her but i don t about her,netral
Aku 2024 kak wkwkwk,kak tertawa,netral
Engga,engga,netral
Justru lebih murah .. Q beli d shopee lgsg dr officialstore nya focallure.,murah q beli d shopee lgsg officialstore nya focallure,positif
baru beli di desember 2019 tau dr akhir 2018:) duit mana duit,beli desember duit duit,positif
Bagusss😴😴😴💜,bagus,positif
Kalem la sis.. gua nonton dibulan desember 2019 wkwkw,kalem la sis gua nonton bulan desember wkwkw,netral
Desember 2019 gw,desember,netral
"Aku lihat desember 2019,dulu juga nonton gk bosan2 lucu Tasya ngomongnya,,hasilnya bagus cantik",lihat desember nonton bosan lucu tasya ngomongnya hasil bagus cantik,positif
"Olá, sou do Brasil e caso você tenha condições, habilite a tecla de legendas automáticas com tradução em seus vídeos! Pois assim, poderemos entender melhor ainda seus tutoriais, amo suas maquiagens! Parabéns!",ol sou do brasil e caso voc tenha condi es habilite a tecla de legendas autom ticas com tradu o em seus v deos pois assim poderemos entender melhor ainda seus tutoriais amo suas maquiagens parab ns,netral
Aku nonton karna aku mau beli makeupnya dan nemu vidionya kak tasya😘😁😁 2019,nonton beli makeupnya nemu vidionya kak tasya,positif
Ini dirilis pas ak ultah nih wkwk:v,rilis pas ak ultah tertawa v,netral
"bikin yang baru dong kak, yang produk barunya focallure",bikin kak produk baru focallure,netral
"Sumpaahh Emg focallure itu BAGUUSS BANGEETT. !! MURAH TP GA MURAHAN 👍
AKU kseminggu yg lalu beli single blush on , eyeshadow palette, ultra chiclip, fluid foundation, brow's pen . Aahh liat kak Tasya jadi pengen koleksi lebih banyak lgi focallure 😍😍🥰🥰😘",sumpaahh emg focallure baguuss bangeett murah murah kseminggu beli single blush on eyeshadow palette ultra chiclip fluid foundation brow s pen aahh lihat kak tasya koleksi lgi focallure,positif
"Gatau kenapa aku suka banget nontonin video ini berulang kali..
Padahal uda pernah nonton..
Soalnya bener2 se-hipe itu sih.
Dari sekian banyaknya one brand focallure, gatau kenapa suka videonya kak tasya ❤️",gatau suka banget nontonin video ulang kali uda nonton bener hipe sih sekian banyak one brand focallure gatau suka video kak tasya,positif
"Nov 2019, gegara kaget liat di internet menjamur ini semua dgn budget murmer.",nov gegara kaget lihat internet jamur budget murmer,netral
2019 nob,nob,netral
"Alay deh yg bilang ""ada yg nontn dibulan ini ga and blablabla."" nyampah.",alay deh bilang nontn bulan and blablabla nyampah,netral
Bosenin,bosenin,positif
"""aku gamau bilang ini semua recommended tapi ini semua emang recommended""",gamau bilang rekomendasi rekomendasi,positif
Mirip mamanya kak tasya kalo make up gini,mama kak tasya make up,positif
November 2019??😍,november,netral
Aku baru nonton ini 2019 bulan November😂,nonton november,netral
31 Oktober 2019 baru ku tonton😂,oktober ku tonton,netral
Bener .  Brisik banget,bener brisik banget,negatif
Biarin lah. Galak amat,biarin galak,negatif
Paan sih lo.,paan sih lo,negatif
Ogebb lu,ogebb lu,negatif
Dih gaje,dih gaje,negatif
Bikin tutorial makeup one brand Imagic kak.,bikin tutorial makeup one brand imagic kak,netral
Menor bgt,menor banget,negatif
23 Oktober 2019,oktober,netral
Oktober 2019 😅😅 beljr make up,oktober beljr make up,netral
"Baru nonton 21 oktober 2019 , karena penasaran sama liquid eyeliner nya focallure , eh ternyata benerran murah 😆",nonton oktober penasaran liquid eyeliner nya focallure eh benerran murah,positif
Waw..waw..🤩,waw waw,netral
Hello kak ! aku dari malaysia tapi fans banget sama kak tasya !!! love banget !!!!!!!!!!! 😘😘😘😘,hello kak malaysia fans banget kak tasya love banget,positif
"Mendadak kangen liat old videonya tasya. Gatau knp atmosfernya beda pas jaman2 belum seterkenal sekarang. Tp gpp, aq tetep cintaaa💓",dadak kangen lihat old video tasya gatau knp atmosfer beda pas jaman kenal gpp tetep cinta,positif
Focallur sudah ada di Inone Store MOI,focallur inone store moi,netral
"Kak, abis tutorial barangnya kasih ke aku aja😂 udah gak kk pake kan",kak abis tutorial barang kasih kak pakai,positif
tks mba tasya sdh bikin video one brand and cheap prise. in shaa allah aku akan forward k sdr n temen2. I am so proud of you who always give your experiance and good tips...👍👍,tks mba tasya sdh bikin video one brand and cheap prise in shaa allah forward k sdr n temen i am so proud of you who always give your experiance and good tips,positif
"Dr awal vidio gw resep bgt liat mulut nya Tasya ngmg kya ada berat2nya tp lincah ngmgnya, trnyta Tasya prnh pake behel",vidio resep banget lihat mulut nya tasya ngmg kya berat nya lincah ngmgnya trnyta tasya prnh pakai behel,negatif
September 17 2019 ❤,september,netral
"Kak bikin video 1 swatch make up dong kak, kayanya belum ada yang buat",kak bikin video swatch make up kak kaya,netral
Aku beli concelernya cuman 25k,beli concelernya cuman k,positif
