comment_raw,comment_preprocessing,label_sentimen,label,indobert_text
"Selamat Pagi/Siang/Sore

Perkenalkan nama saya Yuni Astuti mahasiswi Public Relations Universitas Mercu Buana yang sedang melakukan penelitian mengenai Pengaruh Penggunaan Youtube One Brand Make Up Tutorial Tasya Farasya Terhadap Peningkatan Citra Focallure untuk keperluan Tugas Akhir S1 yang saat ini saya jalani.

Adapun kriteria dalam penelitian adalah sebagai berikut:
1.	Perempuan
2.	Berusia 18-34 tahun
3.	Viewers video One Brand Make Up Tutorial “Focallure” Tasya Farasya

Saya berharap Saudari memberikan kesediaan waktunya untuk berpartisipasi dalam menjawab kuesioner ini secara tepat. 

Berikut Link untuk pengisian google form : 
https://forms.gle/2iozvxZxMybdjVd19

Atas bantuan kalian dalam pengisian kuesioner ini, saya ucapkan terimakasih.",selamat pagi siang sore kenal nama yuni astuti mahasiswi public relations universitas mercu buana teliti pengaruh guna youtube one brand make up tutorial tasya farasya tingkat citra focallure perlu tugas s jalan kriteria teliti perempuan usia viewers video one brand make up tutorial focallure tasya farasya harap saudari sedia partisipasi kuesioner link isi google form bantu isi kuesioner ucap terimakasih,netral,1,selamat pagi siang sore perkenalkan nama saya yuni astuti mahasiswi public relations universitas mercu buana yang sedang melakukan penelitian mengenai pengaruh penggunaan youtube one brand make up tutorial tasya farasya terhadap peningkatan citra focallure untuk keperluan tugas akhir s yang saat ini saya jalani adapun kriteria dalam penelitian adalah sebagai berikut perempuan berusia tahun viewers video one brand make up tutorial focallure tasya farasya saya berharap saudari memberikan kesediaan waktunya untuk berpartisipasi dalam menjawab kuesioner ini secara tepat berikut link untuk pengisian google form atas bantuan kalian dalam pengisian kuesioner ini saya ucapkan terimakasih
2021 here?,here,netral,1,here
2021 guys?😂😂😂,guys,netral,1,guys
"Makin sini makin muda😭
Btw 2021",muda ngomong-ngomong,netral,1,makin sini makin muda ngomong-ngomong
17 februari 2021 :),februari,netral,1,februari
Dulu udh nonton trs balik nonton lagi liat tasya Disini kurus bgt,nonton nonton lihat tasya kurus banget,netral,1,dulu sudah nonton terus balik nonton lagi lihat tasya disini kurus banget
"Karena nonton Tasya aku jadi otw beli Focallure, dan jadi suka banget sama Focallure.",nonton tasya jalan beli focallure suka banget focallure,positif,2,karena nonton tasya aku jadi dalam perjalanan beli focallure dan jadi suka banget sama focallure
Februari 2021 dong :),februari,netral,1,februari dong
februari 2021🙏,februari,netral,1,februari
"Ada yg masih lihat tutorial makeup nya bulan februari 2021, kallo ada kita satu server 🤭😁",lihat tutorial makeup nya februari kallo server,netral,1,ada yang masih lihat tutorial makeup nya bulan februari kallo ada kita satu server
Yang baru nonton 2021 😭❤,nonton,netral,1,yang baru nonton
"OMG!!!! Kak Tasyaaaaaa.... Kk tau gak sih???? Video kk ini thumbnail nya di jadiiin foto sama Official Focallure di aplikasi olshop China 😱😱😱 btw aku tinggal di China, salam kenal ya kak 🥰🤗😘

Keren abis sumpah 👏👏",ya ampun kak tasya kak sih video kak thumbnail nya jadin foto official focallure aplikasi online shop china ngomong-ngomong tinggal china salam kenal ya kak keren abis sumpah,positif,2,ya ampun kak tasyaaaaaa kak tahu tidak sih video kak ini thumbnail nya di jadiiin foto sama official focallure di aplikasi online shop china ngomong-ngomong aku tinggal di china salam kenal ya kak keren abis sumpah
Pasti gaada yang nonton di 2021,gaada nonton,netral,1,pasti gaada yang nonton di
"Haiii :v
~ 2021 ( masa depan ) wkwk",hai v tertawa,netral,1,haiii v masa depan tertawa
Februari 2021,februari,netral,1,februari
bisa bisanya aku telat 3 tahunnn omg,bisa telat ya ampun,netral,1,bisa bisanya aku telat tahunnn ya ampun
2021? Anyone?,anyone,netral,1,anyone
2021 masih nonton🤗,nonton,netral,1,masih nonton
Jan 2021 😂,jan,netral,1,jan
Liat 2021 belaik 👁️👄👁️👂,lihat baik,netral,1,lihat belaik
Ada yang liat ulang 2021 gaa? Ato baru liat?,lihat ulang gaa ato lihat,netral,1,ada yang lihat ulang gaa ato baru lihat
2021 anyone?,anyone,netral,1,anyone
Januari 2021 😂,januari,netral,1,januari
anjim gue liat di taun 2021 😭,anjim lihat taun,netral,1,anjim saya lihat di taun
2021 anyone??😂,anyone,netral,1,anyone
"2021 nih, ada yg baru nonton juga?",nonton,netral,1,ini ada yang baru nonton juga
aku 2024 baru nonton😭,nonton,netral,1,aku baru nonton
Aku baru liat,lihat,netral,1,aku baru lihat
Aku wkwk,tertawa,netral,1,aku tertawa
2021 hehe,hehe,netral,1,hehe
"2021 :')
Here I am",here i am,netral,1,here i am
2021 Hai,hai,netral,1,hai
31 desember 2020,desember,netral,1,desember
Desember 2020,desember,netral,1,desember
Ka belanja bulanan plisss🙏,kak belanja bulan plis,netral,1,kak belanja bulanan plisss
2020 check?!! 😅,check,netral,1,check
Wkwkwkwkkw semuka Sejuta pun nyampe itu neng..😂😂😂,wkwkwkwkkw muka juta nyampe neng,netral,1,wkwkwkwkkw semuka sejuta pun nyampe itu neng
"Shopee 12.12 2020, beli pas diskon gede gedean saking ga percaya nya brand murah banget  20-50 ribuan tapi dari luar negeri makannya nyari nyari review dan aku nemu ini ternyata konten 3 tahun lalu.",shopee beli pas diskon gede gede saking percaya nya brand murah banget ribu negeri makan nyari nyari review nemu konten,positif,2,shopee beli pas diskon gede gedean saking tidak percaya nya brand murah banget ribuan tapi dari luar negeri makannya nyari nyari review dan aku nemu ini ternyata konten tahun lalu
8 desember 2020,desember,netral,1,desember
Perfect.,perfect,netral,1,perfect
Nancy + somi = tasya,nancy som tasya,netral,1,nancy somi tasya
November 2020 😂,november,netral,1,november
Keputian ga sih,puti sih,netral,1,keputian tidak sih
Okt 2020 😌,okt,netral,1,okt
Jelek bacot lagi,jelek bacot,negatif,0,jelek bacot lagi
Bedak tabur nya apa yaah..di cari gak ada,bedak tabur nya yaah cari,netral,1,bedak tabur nya apa yaah di cari tidak ada
Kk..powder nya apa sih itu..ko q cari gak ada,kak powder nya sih ko q cari,netral,1,kak powder nya apa sih itu ko q cari tidak ada
November 2020,november,netral,1,november
Nonton pas tahun 2020 okctober,nonton pas okctober,netral,1,nonton pas tahun okctober
lightingnya keterangan ga si,lightingnya terang si,netral,1,lightingnya keterangan tidak si
23 oktober 2020 😊,oktober,netral,1,oktober
Nonton tasya dari gadis sampe punya Lily..,nonton tasya gadis lily,netral,1,nonton tasya dari gadis sampai punya lily
Itu keputihan atau gimana?,putih gimana,negatif,0,itu keputihan atau gimana
Oktober 2020😂,oktober,netral,1,oktober
Oktober 2020,oktober,netral,1,oktober
October 2020 :),october,netral,1,october
Oktober 2020 :),oktober,netral,1,oktober
"Pengen beli make up tapi uangnya ga punya? Sekarang kita bisa menghasilkan uang dari rumah pake hp loh dengan aplikasi cashzine sudah di unduh lebih dari 10JT kali di playstore tanpa modal & tanpa KTP aku udah buktiin sendiri hanya dengan membaca artikel dan banyak kuis lainnya lumayan sambil rebahan dapet uang yuk download!!

Bisa pake kode aku : 21813393 🤗
Auto dapet 8000 koin gratis!

Thanks✨",beli make up uang hasil uang rumah pakai hp loh aplikasi cashzine unduh jt kali playstore modal ktp buktiin baca artikel kuis lumayan rebah uang yuk download pakai kode auto koin gratis terima kasih,positif,2,ingin beli make up tapi uangnya tidak punya sekarang kita bisa menghasilkan uang dari rumah pakai hp loh dengan aplikasi cashzine sudah di unduh lebih dari jt kali di playstore tanpa modal tanpa ktp aku sudah buktiin sendiri hanya dengan membaca artikel dan banyak kuis lainnya lumayan sambil rebahan dapat uang yuk download bisa pakai kode aku auto dapat koin gratis terima kasih
Yang nonton pas Okt 2020 angkat tangan😂,nonton pas okt angkat tangan,netral,1,yang nonton pas okt angkat tangan
September 2020😅😁,september,netral,1,september
Ngefans❤️❤️❤️,ngefans,netral,1,ngefans
What is this languagee??? <3,what is this languagee,netral,1,what is this languagee
Nonton ulang ini skrg kak tasya udah punya lilly 😂,nonton ulang skrg kak tasya lilly,netral,1,nonton ulang ini skrg kak tasya sudah punya lilly
Siapa nnton quarantine,nnton quarantine,netral,1,siapa nnton quarantine
Kesini gara2 liat video tasya yg teknik make up baru vs lama wkwkwk,kesini gara lihat video tasya teknik make up vs tertawa,netral,1,kesini gara lihat video tasya yang teknik make up baru vs lama tertawa
Aku baru tau kalo focallure dah lama ..aku jg pke murah bagus lg,focallure dah pakai murah bagus lg,positif,2,aku baru tahu kalau focallure dah lama aku juga pakai murah bagus lg
Wkwk gue nonton ini dong di 2020🙃,tertawa nonton,netral,1,tertawa saya nonton ini dong di
"Mau belajar make-up , kayanya wajib bli produk Focollur . Tapi harga di Taiwan agak mehong kak",ajar make up kaya wajib bli produk focollur harga taiwan mehong kak,netral,1,mau belajar make up kayanya wajib bli produk focollur tapi harga di taiwan agak mehong kak
Terang bt ya kak jaman dulu,terang bt ya kak jaman,netral,1,terang bt ya kak jaman dulu
Bagi makeupnya dong kak,makeupnya kak,netral,1,bagi makeupnya dong kak
Kak coba pake merk oriflame aku pernah coba itu bagus banget merk nya itu juga punya  auntyku 😊,kak coba pakai merk oriflame coba bagus banget merk nya auntyku,positif,2,kak coba pakai merk oriflame aku pernah coba itu bagus banget merk nya itu juga punya auntyku
Is there no english subtitles 🥺,is there no english subtitles,netral,1,is there no english subtitles
Ka kapan give away make up nya,kak give away make up nya,netral,1,kak kapan give away make up nya
"Selamat malam untuk para viewers Focallure On Brand Makeup Tuorial Ka Tasya, dan untuk para subscriber Ka Tasya. Aku lagi penelitian untuk skripsi kebetulan berkaitan dgn focallure one brand makeup tutorial ka Tasya, dan studi kasus nya pada viewers video Ka Tasya. Karna itu aku mohon bantuannya untuk pengisian kuesioner nya ya:) berikut link nya, https://forms.gle/tBMn5Lv911eSCFxWA . Terimakasih<3",selamat malam viewers focallure on brand makeup tuorial kak tasya subscriber kak tasya teliti skripsi kait focallure one brand makeup tutorial kak tasya studi nya viewers video kak tasya mohon bantu isi kuesioner nya ya link nya terimakasih,netral,1,selamat malam untuk para viewers focallure on brand makeup tuorial kak tasya dan untuk para subscriber kak tasya aku lagi penelitian untuk skripsi kebetulan berkaitan dengan focallure one brand makeup tutorial kak tasya dan studi kasus nya pada viewers video kak tasya karena itu aku mohon bantuannya untuk pengisian kuesioner nya ya berikut link nya terimakasih
2020 di muncul beranda ngumpul,muncul beranda ngumpul,netral,1,di muncul beranda ngumpul
Tengkyu kak duh otw beli pokoknya,tengkyu kak duh jalan beli pokok,positif,2,tengkyu kak duh dalam perjalanan beli pokoknya
Aku baru nonton di tahun 2020,nonton,netral,1,aku baru nonton di tahun
She’s so pretty but i cannot understand what does she say:(,she s so pretty but i cannot understand what does she say,netral,1,she s so pretty but i cannot understand what does she say
"ka Tasya,,Lighting nya terlalu teraaangg ...",kak tasya lighting nya terangg,netral,1,kak tasya lighting nya terlalu teraaangg
"kak, bisa engga pose kayak gitu engga di thumbnailnya? hehe krn aku jujur aja sebagai org yang keturunan cina yg tinggal di indonesia merasa tersindir. karena jujur aja pose itu rasis",kak engga pose kayak engga thumbnailnya hehe jujur orang turun cina tinggal indonesia sindir jujur pose ras,netral,1,kak bisa engga pose kayak begitu engga di thumbnailnya hehe karena aku jujur saja sebagai orang yang keturunan cina yang tinggal di indonesia merasa tersindir karena jujur saja pose itu rasis
Focallure dan implora Auto aq lngsng bli sejak pantengin tasya horang kaya dn gk sombong Farasya🤣🤣🤣,focallure implora auto lngsng bli pantengin tasya horang kaya dn sombong farasya,netral,1,focallure dan implora auto aku lngsng bli sejak pantengin tasya horang kaya dn tidak sombong farasya
aku yg lihat di 2020 quarantine : 👁👄👁,lihat quarantine,netral,1,aku yang lihat di quarantine
"Bagi aku mahal kalo beli lengkap, tapi murah klo beli satuan:')",mahal beli lengkap murah beli satu,negatif,0,bagi aku mahal kalau beli lengkap tapi murah kalau beli satuan
Nonton tadi pagi. Siang langsung beli😂. Bener2 kak Tasya kasih racun,nonton pagi siang langsung beli bener kak tasya kasih racun,positif,2,nonton tadi pagi siang langsung beli bener kak tasya kasih racun
26 juni 2020 ada yg masih nonton 😁😍,juni nonton,netral,1,juni ada yang masih nonton
"Video tasya pertama yg ak liat  pas ak kuliah, sekarang ak udh nikah dan hamil jg ky tasya",video tasya ak lihat pas ak kuliah ak nikah hamil ky tasya,netral,1,video tasya pertama yang ak lihat pas ak kuliah sekarang ak sudah nikah dan hamil juga ky tasya
Lebay bgt sihh ngomongnya,lebay banget sihh ngomongnya,netral,1,lebay banget sihh ngomongnya
Make up beli dipasar dong,make up beli pasar,positif,2,make up beli dipasar dong
Kak makeup di bawah 20 ribu dong,kak makeup ribu,netral,1,kak makeup di bawah ribu dong
Juni 2020..😂,juni,netral,1,juni
2020 ada yang masih nonton kah 😂😂,nonton kah,netral,1,ada yang masih nonton kah
Bru nonton hehe,bru nonton hehe,netral,1,bru nonton hehe
Gua baru lihat d bulan juli 2020 gara gara d beliin doi 1 set make up focallure,gua lihat d juli gara gara d beliin doi set make up focallure,positif,2,gua baru lihat d bulan juli gara gara d beliin doi set make up focallure
Keputihan bgt si,putih banget si,negatif,0,keputihan banget si
gaada yg peduli lu mau nonton di bulan apa dan tahun apa.,gaada peduli lu nonton,netral,1,gaada yang peduli lu mau nonton di bulan apa dan tahun apa
Gabosen rewatch video ka Tasya yang iniii🥰🥰🥰✨,gabosen rewatch video kak tasya,netral,1,gabosen rewatch video kak tasya yang iniii
yang nonton bulan ramadhan?👍😂,nonton ramadhan,netral,1,yang nonton bulan ramadhan
Awal racunku pada focallure😂❤️,racun focallure,positif,2,awal racunku pada focallure
Uwu bgt,uwu banget,netral,1,uwu banget
mei 2020(((:,mei,netral,1,mei
Ahhhh ka tasyaa makeup nya baguss bngtt sumpahh. Tapi kalo aku sendiri lebih suka yg sebelum pake lipstik gtu hehe,ah kak tasyaa makeup nya baguss bngtt sumpahh suka pakai lipstik gtu hehe,positif,2,ahhhh kak tasyaa makeup nya baguss bngtt sumpahh tapi kalau aku sendiri lebih suka yang sebelum pakai lipstik gtu hehe
"Pengin belajar make up.  Tapi gak punya apa2.  :(
Pingin buka jasa make up pengantin",pengin ajar make up pingin buka jasa make up pengantin,netral,1,pengin belajar make up tapi tidak punya apa pingin buka jasa make up pengantin
Ada yang nonton 2020 bulan Mei?,nonton mei,netral,1,ada yang nonton bulan mei
April 2020 mAsih nonton mana suaranya,april nonton suara,netral,1,april masih nonton mana suaranya
Ligcawesdxzsddrty,ligcawesdxzsddrty,netral,1,ligcawesdxzsddrty
Mascaranya waterproof ga si kak,mascaranya waterproof si kak,netral,1,mascaranya waterproof tidak si kak
Kalau make up jya aja ngelebihin MUA plus pinter dandan nikahan gak usah panggil salon😂,make up jya ngelebihin mua plus pinter dandan nikah panggil salon,netral,1,kalau make up jya saja ngelebihin mua plus pinter dandan nikahan tidak usah panggil salon
"Beli make up kayak gini 1.114.00 juta tapi worth it sih
Tanpa onkir loh",beli make up kayak juta worth it sih onkir loh,positif,2,beli make up kayak begini juta tapi worth it sih tanpa onkir loh
April 2020 anyone here?,april anyone here,netral,1,april anyone here
Baru liat 2020,lihat,netral,1,baru lihat
Mba pernah ada yg bilang mirip Elizabeth Gillies ngga?,mba bilang elizabeth gillies,netral,1,mba pernah ada yang bilang mirip elizabeth gillies tidak
Sudah 3 tahun yg lalu.. Waktu begitu cepat berlalu ya.. Waktu dulu nonton masih anak satu. Sekarang nonton lagi sudah anak dua.. Dan yg punya channel sudah hamil tua. Huwaahhh can't wait to see you ngemong anak tasy. Hihi. Masih punya banyak waktu ga ya buat make up? Hehehe,cepat ya nonton anak nonton anak channel hamil tua huwaah can t wait to see you ngemong anak tasy hihi ya make up tertawa,netral,1,sudah tahun yang lalu waktu begitu cepat berlalu ya waktu dulu nonton masih anak satu sekarang nonton lagi sudah anak dua dan yang punya channel sudah hamil tua huwaahhh can t wait to see you ngemong anak tasy hihi masih punya banyak waktu tidak ya buat make up tertawa
8 april 2020 Duns,april duns,netral,1,april duns
"kakk rainbow highlighter yang kakak pake aku punya juga lhoo
hihihi",kakk rainbow highlighter kakak pakai lhoo hihihi,netral,1,kakk rainbow highlighter yang kakak pakai aku punya juga lhoo hihihi
april 2020 when corona,april when corona,netral,1,april when corona
April 2020? 🤣,april,netral,1,april
2020 ada ?? gilee baru tau produknya masa wkwkwk,gilee produk tertawa,netral,1,ada gilee baru tahu produknya masa tertawa
Kalo foundation nya bagus ga kak?,foundation nya bagus kak,positif,2,kalau foundation nya bagus tidak kak
Gua baru beli hari ini produk focallur,gua beli produk focallur,positif,2,gua baru beli hari ini produk focallur
"2 tahun lalu  
Gua: hahhhh😮🤪😶",gua hah,netral,1,tahun lalu gua hahhhh
2020 bulan Maret:),maret,netral,1,bulan maret
Bagi kami itu mahal. 🙂,mahal,negatif,0,bagi kami itu mahal
Kak kira2 ini tahan gak buat wisuda???,kak tahan wisuda,netral,1,kak kira ini tahan tidak buat wisuda
Racun,racun,positif,2,racun
"kaa,higl nya itu boleh buat anak smp gak ka bantu jawab ya",kak higl nya anak smp kak bantu ya,netral,1,kak higl nya itu boleh buat anak smp tidak kak bantu jawab ya
"video nya byk yg di skip, tiba2 jd gitu",video nya byk skip,netral,1,video nya byk yang di skip tiba jadi begitu
Katanya poweder nya anti air,poweder nya anti air,netral,1,katanya poweder nya anti air
yang mau coba focallure bisa beli di ig @samsteur 💕,coba focallure beli ig,positif,2,yang mau coba focallure bisa beli di ig
aku kayak liat shirin.  cara ngomongnya pun samaaa,kayak lihat shirin ngomongnya,netral,1,aku kayak lihat shirin cara ngomongnya pun samaaa
Kalo Tasya dari 2017 dan gue baru liat di akhir Februari 2020😂,tasya lihat februari,netral,1,kalau tasya dari dan saya baru lihat di akhir februari
Eyeliner focallur ku ilang..  😔,eyeliner focallur ku ilang,netral,1,eyeliner focallur ku ilang
Bagaimna pun makeupnya kalo orangnya bisa makeup dan cantik yah Bagus,bagaimna makeupnya orang makeup cantik yah bagus,positif,2,bagaimna pun makeupnya kalau orangnya bisa makeup dan cantik yah bagus
February 2020?,february,netral,1,february
Eyeshadow palet lebih kok kak dri 100 ribu,eyeshadow palet kak dri ribu,netral,1,eyeshadow palet lebih kok kak dri ribu
Aku dong bingung nyari2 makeup buat seserahan dan baru sekarang tau ni merek makeup.. 2020 🤣🤣,bingung nyari makeup serah ni merek makeup,netral,1,aku dong bingung nyari makeup buat seserahan dan baru sekarang tahu ni merek makeup
