comment_raw,comment_preprocessing,label_sentimen,label
kak falsie nya make merk apa,kak falsie nya make merk,netral,1
I like Ur vibes gfs 😄😘,i like ur vibes gfs,netral,1
"Jam 12 mlm make up,,bersihin pke apa biar instan langsung tidur😊",jam mlm make up bersihin pakai biar instan langsung tidur,netral,1
"""sumpah ini bagus lo, ini produk apa sih? kenapa ini murah banget ya?""
sumpah kak tasya ngakak banget pas nanya sambil kebingungan 😂😂😂",sumpah bagus lo produk sih murah banget ya sumpah kak tasya tertawa banget pas nanya bingung,positif,2
gara2  dek tasya blg eyeshadownya bagus... saya jd beli langsung wagelaseh... racun syekalee hey... gak sabar nunggu paket uwuwuwu,gara dek tasya blg eyeshadownya bagus beli langsung wagelaseh racun syekalee hey sabar nunggu paket uwuwuwu,positif,2
ihhhh ka tasya kren banget banget banget 😍❤❤❤❤,ih kak tasya kren banget banget banget,netral,1
Ya aku ni baru nonton 😂,ya ni nonton,netral,1
"Tasya, bikin review ketahanan foundationnya donk... tahan berapa jam? oxidasing ga? di kulit kering gimana?",tasya bikin review tahan foundationnya donk tahan jam oxidasing kulit kering gimana,netral,1
fix ini menjawab semuaaaaaaaaaaa pertanyaan selama ini. onebrand yang murah dan semua bagus. fix makaaassiii banyak tasya 😘😘,onebrand murah bagus makassi tasya,positif,2
23 Oktober 2019,oktober,netral,1
GUEASIH NONTONIN INI MAMA AYANK😭,gueasih nontonin mama ayank,netral,1
Kapan kapan bikin vidio serba wardah dong kak,bikin vidio serba wardah kak,netral,1
September 2019 krn ad promo d shopee.. omg,september ad promo d shopee ya ampun,positif,2
lebih murah Preorder sendiri.. btw Ku bisa bantu orderin .. yg jelas lebih murah >///< langsung dari china juga..,murah preorder ngomong-ngomong ku bantu orderin murah langsung china,positif,2
Dulu udh nonton trs balik nonton lagi liat tasya Disini kurus bgt,nonton nonton lihat tasya kurus banget,netral,1
"Setelah berkali-kali nonton video ini akhirnya q keracunan dan malah jadi jualan produk"" dari focallure
Cek ig @safar_shop_
Maaf malah numpang promo ka tasya 
#racunfarasya",kali kali nonton video q racun jual produk focallure cek ig maaf numpang promo kak tasya,positif,2
focallure belinya di aliexpress lebih murah,focallure beli aliexpress murah,positif,2
Kaka boleh minta wa nya gak ? Untuk jadi narasumber aku mengenai Tasya Farasya .  Buat di skripsi aku ..,kaka wa nya narasumber tasya farasya skripsi,netral,1
2020 bulan Maret:),maret,netral,1
Jelek bacot lagi,jelek bacot,negatif,0
Kak tasya belinya sma orang Indo kak. Bkan beli di penjual yg ada di china. Makanya agak mahal,kak tasya beli sma orang indo kak bkan beli jual china mahal,negatif,0
Kak fikalur itu apa kak,kak fikalur kak,netral,1
"Kita jual produk focallure ready stok kka.  Cek IG zulfashion_kosmetik. Eyeshadow 18 warna cuma 120rb,  eyeshadow 20 warna 130rb,  highlighter 6 macam 140rb.  Eyeliner glitter focallure 45rb.  Semua ready.  Kita juga jual di shopee dan tokopedia.  Terimakasih",jual produk focallure ready stok kka cek ig zulfashion kosmetik eyeshadow warna rb eyeshadow warna rb highlighter rb eyeliner glitter focallure rb ready jual shopee tokopedia terimakasih,netral,1
Yaaa dia boro2 murah... Ga di apa2in juga emang dasarnya dah cantik hampir semoyrna bangeeettt...,ya boro murah in dasar dah cantik semoyrna banget,positif,2
"Harganya ko lebih mahal ya😕,aku beli di olshop shopee lebih murah 2× lipat,lokasinya sih dikirim dr luar negeri. Apa merk nya kw??😕 adududuu bingung daah",harga ko mahal ya beli online shop shopee murah lipat lokasi sih kirim negeri merk nya kw adududuu bingung daah,negatif,0
Bagaimna pun makeupnya kalo orangnya bisa makeup dan cantik yah Bagus,bagaimna makeupnya orang makeup cantik yah bagus,positif,2
Sabar..Sabar.. ini Ujian.. Ujian dari Alloh..Sabbar..,sabar sabar uji uji alloh sabbar,netral,1
 @vitaminjovitaa  idk maybe she is using too much words that meant the same ?:',idk maybe she is using too much words that meant the same,netral,1
kakak? belinya dmna aku mau beli di olshop tapi pengirimannya lama 25 hari😂😑,kakak beli dmna beli online shop kirim,positif,2
racun baru 😂😭😭,racun,positif,2
lebay nya pang jadi org ..,lebay nya pang orang,netral,1
am I the only English speaking one,am i the only english speaking one,netral,1
"Nonton 2 tahun kemuadian, 
7 april 2019 😅",nonton kemuadian april,netral,1
"gea ananda produk oriflame kualitasnya just so so sih, harganya sedikit pricey. Aku udah pernah coba beberapa. Mending produk lokal kayak pixy, wardah, makeover.",gea ananda produk oriflame kualitas just so so sih harga pricey coba mending produk lokal kayak pixy wardah makeover,netral,1
"Mau manyun mau kayang teteup cantik aja nih :""",manyun kayang teteup cantik,positif,2
2021? Anyone ? 😬,anyone,netral,1
2021 anyone??😂,anyone,netral,1
Rara Is Awesome #bantujawab kata ka fatya ga waterproof,rara is awesome kak fatya waterproof,netral,1
ngerayu suamikkk.. beli inii...😂😂😂,ngerayu suamik beli ini,positif,2
"ka lightingnya keterangan deh,jadi gajelas aku liat pas di aplikasiin ke wajahnya",kak lightingnya terang deh gajelas lihat pas aplikasiin wajah,netral,1
product focallure ini beli dimana ka ?,product focallure beli mana kak,positif,2
Kak tutorial pake brand beautystyle donk...hehe,kak tutorial pakai brand beautystyle donk hehe,netral,1
"Mudah2an ntr ganti lightning kak, biar maks videonya 😍",mudah an ntr ganti lightning kak biar maks video,netral,1
Kak... Apakah ada focallur yg palsu???,kak focallur palsu,netral,1
"Haii kak tasya,, semoga aku bisa beli makeup yg mendingan ya, soalnya aku suka banget makeup dan dandanin org, tapi pake makeup yg bnrt² di bawah bgt 30-40rb itu paling mahal
Kadang kalo lagi makeup suka so soan kyak lg ng vlog gtu, tp itu cuma ngomong sendiri depan kaca😂
Berharap bisa beli makeup yg mendingan lah lengkap gtu gak perlu mahal yg penting bisa lengkap dan bagus kalo di pake😁
Aku suka liatin tutorial nya kak tasya meskipun jarang karna kuota terbatas😂😂dan klo beli makeup suka mikir 2x antara beli beras atau beli makeu😂",hai kak tasya moga beli makeup mending ya suka banget makeup dandanin orang pakai makeup bnrt banget rb mahal kadang makeup suka so soan kyak lg ng vlog gtu ngomong kaca harap beli makeup mending lengkap gtu mahal lengkap bagus pakai suka liatin tutorial nya kak tasya jarang kuota batas beli makeup suka mikir x beli beras beli makeu,positif,2
bisa bisanya aku telat 3 tahunnn omg,bisa telat ya ampun,netral,1
Langsungggg beliiii,langsung beli,positif,2
"Mampir di chenel ku dong di situ aku lagi belajar makeup, jadi butuh masukan dari kakak dan temen2 sekalian.... 
terimakasih.",mampir chenel ku situ ajar makeup butuh masuk kakak temen terimakasih,positif,2
aslii.. abis nonton ini aku lgsg pengen bli😂 langsung cari ke ig nya.. padahal baru ga lama bli merk lain.,asli abis nonton lgsg bli langsung cari ig nya bli merk,netral,1
bikin q&a !!❤️,bikin q a,netral,1
"Nov 2019, gegara kaget liat di internet menjamur ini semua dgn budget murmer.",nov gegara kaget lihat internet jamur budget murmer,netral,1
baru beli di desember 2019 tau dr akhir 2018:) duit mana duit,beli desember duit duit,positif,2
Racuuunn.. Aku ganti semua make up aku pakai focallure😍❤,racunn ganti make up pakai focallure,netral,1
gosh soo cool dear i will buy it,gosh soo cool dear i will buy it,netral,1
keracunin bgt liat videonya kak suummmpaahh...ini beneran bagus gak kalo lama d pake seharisn,keracunin banget lihat video kak suumpaahh beneran bagus d pakai seharisn,positif,2
foundie ny keputihan😭,foundie ny putih,negatif,0
Susana Tamara udah ada,susana tamara,netral,1
Kaya dua lipa 😀😀,kaya lipa,netral,1
ga sabar nunggu notif muncul buat video selanjutnya 😍😍😍,sabar nunggu notif muncul video,netral,1
"ngefans abiiiis maximal sama ka Tasya satu ini. parah. biasanya boring kalau nonton Vidio make up tutorial tapi ini engga sama sekali. dan ngikutin dari awal bgt  please,  keep on you best work.!!!",ngefans abis maximal kak tasya parah boring nonton vidio make up tutorial engga ngikutin banget please keep on you best work,netral,1
"tasyaaaaaa,,, lo bener2 racun...
hahahahaha...
skrg gue keranjingan sama focallure...
OMG... thanks for your poisonous review... 😘😘😘",tasya lo bener racun hahahahaha skrg keranjingan focallure ya ampun terima kasih for your poisonous review,positif,2
yawlahhhh racunnya ga kira-kira 😷😷,yawlah racun,positif,2
kak test ketahanannya juga dong^^,kak test tahan,netral,1
Is there no english subtitles 🥺,is there no english subtitles,netral,1
omagah,omagah,netral,1
"packagingnyaaaaaa bagus , guaaaa juga teriak teriakkkk liat video lu ka ekekekekkekeo mantaappp",packagingnya bagus gua teriak teriak lihat video lu kak ekekekekkekeo mantaap,positif,2
Yoow ✌,yoow,netral,1
"racun banget kak tasya 😂😂😂 langsung search tentang brand nya, foundationnya bagus gak sih kak? cakey?",racun banget kak tasya langsung search brand nya foundationnya bagus sih kak cakey,positif,2
2021 anyone??,anyone,netral,1
sp yg liat ini di okt 2021..?🤣😅,sp lihat okt,netral,1
"Mahani Baraja ga ada, adanya di onlineshop",mahani baraja onlineshop,netral,1
"kak tasya bikin vid tutorial makeup yg tipis dan natural donk, pengen bgt deh liat natural beautyny",kak tasya bikin vid tutorial makeup tipis natural donk banget deh lihat natural beautyny,netral,1
keren..btw kak gmna caranya make up biar gk timbul garis kyk krutan gtu saat trsyum aku sring bgt nglmin,keren ngomong-ngomong kak gmna make up biar timbul garis kyk krutan gtu trsyum sring banget nglmin,positif,2
Waw..waw..🤩,waw waw,netral,1
"""urgent kalian hrs beli"" 😂😂😂😂 ngakaakk racuuunnnn",urgent hrs beli ngakaakk racun,positif,2
"2022 anyone?🤣
like literally 5yr agoooooooooo suaranya ka tasya imut bgt",anyone like literally yr ago suara kak tasya imut banget,netral,1
"ka,beli focallure dimana",kak beli focallure mana,positif,2
kenapa gak nyantai banget kak tutorialnya -_- hehe tbh yaaa,nyantai banget kak tutorial hehe tbh ya,netral,1
tasya farasya tahan berapa lama?,tasya farasya tahan,netral,1
"neng kayaknya pencahayaan nya kurang bagus deh, jd di muka kaya keputihan atau kaya kurang jelas warna dr si masing2 shade nya",neng kayak cahaya nya bagus deh muka kaya putih kaya warna si shade nya,negatif,0
Tasya ceria farasya,tasya ceria farasya,netral,1
Miemie 58 di shoppe emang jauh lebih murah karna di kirim langsung dr Cina (produsennya)..,miemie shoppe murah kirim langsung cina produsen,positif,2
"""aku kayaknya harus napas dulu dehh"" wkkwkwkkwkwkwkwk",kayak napas dehh wkkwkwkkwkwkwkwk,netral,1
"sekarang diskon di shopee 15rb. makeup apaan coba anjir, seneng banget sampe bego",diskon shopee rb makeup coba anjir neng banget bego,netral,1
Emang bener bgt gua syukak bgt ama eyeshadow ny nampol bgt bner2 berasa make  . Luvv luvv pokony,bener banget gua syukak banget ama eyeshadow ny nampol banget bner asa make luvv luvv pokony,positif,2
Wkwkwkwkkw semuka Sejuta pun nyampe itu neng..😂😂😂,wkwkwkwkkw muka juta nyampe neng,netral,1
"Selamat malam untuk para viewers Focallure On Brand Makeup Tuorial Ka Tasya, dan untuk para subscriber Ka Tasya. Aku lagi penelitian untuk skripsi kebetulan berkaitan dgn focallure one brand makeup tutorial ka Tasya, dan studi kasus nya pada viewers video Ka Tasya. Karna itu aku mohon bantuannya untuk pengisian kuesioner nya ya:) berikut link nya, https://forms.gle/tBMn5Lv911eSCFxWA . Terimakasih<3",selamat malam viewers focallure on brand makeup tuorial kak tasya subscriber kak tasya teliti skripsi kait focallure one brand makeup tutorial kak tasya studi nya viewers video kak tasya mohon bantu isi kuesioner nya ya link nya terimakasih,netral,1
me,me,netral,1
Can you please make your vedios in English ?,can you please make your vedios in english,netral,1
Aku lihat di shopee under 30k semua,lihat shopee under k,netral,1
"habis liat vidio ini aku langsung order, benaran racun sumpah😂 semoga barangnya cepat datang soalnya gak sabar mau coba😚😘",habis lihat vidio langsung order benar racun sumpah moga barang cepat sabar coba,positif,2
Mirip mamanya kak tasya kalo make up gini,mama kak tasya make up,positif,2
"Ka kebanyakan ngomong😂😂 tapi mantaps ka, aku juga pake focallure harganya terjangkau🤗🤗",kak banyak ngomong mantaps kak pakai focallure harga jangkau,positif,2
sepanjang video aku senyum2 sambil ngeleng kepala ngeliat kami yg super excited dan kaya gakehabisan bahan buat ngomong. saluuuut tas racun mematikan ini sih  😢,video senyum ngeleng kepala super excited kaya gakehabisan bahan ngomong salut tas racun mati sih,positif,2
Kak plis bikin makeup set,kak plis bikin makeup set,netral,1
W nonton ini 2021 beb,w nonton beb,netral,1
"suka bngttt sma makeup look nya ka tasya.. ka tasya bikin aku ngilerrr pengen punya makeup dr focallure...❤❤❤ ahahahha suksess trus ka tasya,,keep humble... love love deh",suka banget sma makeup look nya kak tasya kak tasya bikin ngiler makeup focallure ahahahha suksess kak tasya keep humble love love deh,positif,2
Racunnn 😭 otw arss,racun jalan arss,positif,2
"dari tasya live IG bilang kalau ini bagus udah pengen banget mesen semua, tapi akhirnya nunggu sampe video ini up abis kelar nonton langsung pesen XD XD XD",tasya live ig bilang bagus banget mesen nunggu video up abis kelar nonton langsung sen xd xd xd,positif,2
"Hallo semuanya.. Nama saya Michele Tezser, mahasiswi Public Relations  Universitas Mercu Buana. 
Saya ingin meminta kesediaan temen-temen Youtube khususnya para subscriber kak Tasya Farasya untuk mengisi kuesioner tentang pengaruh celebrity endorser terhadap brand image Focallure  dalam rangka memenuhi Tugas Akhir saya.
Berikut saya lampirkan link google form utk pengisian kuesioner nya ya teman-teman:
https://docs.google.com/forms/d/e/1FAIpQLSd9yuthu9c9sX4GV2C9hZqPQ2qbYzF1VickOqcHQL1Qlg_uPQ/viewform?usp=sf_link

Terima Kasih. Semoga teman-teman semua sehat dan dilancarkan selalu rezeki nya. Aaamiinn",hallo nama michele tezser mahasiswi public relations universitas mercu buana sedia temen temen youtube subscriber kak tasya farasya isi kuesioner pengaruh celebrity endorser brand image focallure rangka penuh tugas lampir link google form isi kuesioner nya ya teman teman terima kasih moga teman teman sehat lancar rezeki nya amiinn,negatif,0
2025 anyone? hahaha,anyone tertawa,netral,1
paraaahh sya ngeracun ini mah 😂 demi apapun gue langsung borong loh gara gara virus di video ini,parahh sya ngeracun mah apa langsung borong loh gara gara virus video,positif,2
"kk, fulcallurnya beli dimana ya :-D",kak fulcallurnya beli mana ya d,positif,2
Tasya... Kl produk yg waterproof apa ya....,tasya kl produk waterproof ya,netral,1
Belajar? Belajar apa kak?,ajar ajar kak,netral,1
Gak pernah denger brand ini 😊 TFS!,denger brand tfs,netral,1
Gw ga demen bgt ngeliat muka nih cewe. Kata gw mah mukanya serem kyk vampire. 😬,demen banget muka cewe mah muka rem kyk vampire,netral,1
setuuujuuu,tuju,netral,1
Apakah ada yg nonton ini bulan April tahun 2019?,nonton april,netral,1
Sekarang harganya diatas 100 semua chiiinnn....apa sdh ada counternya,harga atas chin sdh counternya,netral,1
Blush on nya awet gak?,blush on nya awet,netral,1
Gila ni video di tonton berkali kali gk bosenn parahhhh ❤❤❤❤❤❤❤💕💕💕,gila ni video tonton kali kali bosenn parah,netral,1
"Hm, tapi kok di website nya harganya diatas 100K yah? https://shopfocallure.com/collections/face",hm website nya harga atas k yah,netral,1
aku bli di shofee .  murah murah bngt .  lebih murah dr tasya sebutkan,bli shofee murah murah banget murah tasya sebut,positif,2
Kaka ini keliatan gak pencitraan bngt yah ceplas ceplos apa adanya jadi kitanya ketawanya ikhlas ngakak juga wkwkwk,kaka liat citra banget yah ceplas ceplos kita ketawa ikhlas tertawa tertawa,netral,1
Brow gelnya foccalure sm LT pro bagus mana ya?,brow gel foccalure lt pro bagus ya,positif,2
kayanya cahayanya terlalu keterangan deh kak hehehe,kaya cahaya terang deh kak tertawa,netral,1
"Please kasih tau, focallure ini beneran no animal tested nggak? Baca komen2nya kok masih bingung antara iya atau enggak, please kasih tau ya karna aku abis googling focallure ini dari china dan disana pasti pakai animal testing, masih berharap semoga focallure no animal tested 😭😭😭😭😭",please kasih focallure beneran no animal tested baca komen nya bingung iya please kasih ya abis googling focallure china sana pakai animal testing harap moga focallure no animal tested,netral,1
Mei 2019😅😅😅,mei,netral,1
Bingung gkbisa makeknya 😄😄😄😁😁😁 biasanya cm bedakan doang,bingung gkbisa makeknya cm beda doang,netral,1
"Selalu dan selalu keren deh makeupnyaa 😍
Oh yah tasya bagusan elf brow cream atau foccalure cream pomade brow?",keren deh makeupnyaa oh yah tasya bagus elf brow cream foccalure cream pomade brow,positif,2
kok jadi mirip sama dualipa yaa,dualipa ya,netral,1
makeup yg lainnya bagus tp kynya alas bedaknya keputihan,makeup bagus kynya alas bedak putih,negatif,0
Nyimas Ayu lahir 92,nyimas ayu lahir,netral,1
"Kalau aku biasanya langsung cek ke focallure.com, kalau dibandingin yg di shoope masih lebih mahal yg di web official focallure makanya yg di shopee aku ragu 😊",langsung cek focallure com dibandingin shoope mahal web official focallure shopee ragu,negatif,0
" @bungaayu2641  ga ancur kok, tergantung olshopnya. Cuma lama aja sampe 2 minggu",ancur gantung olshopnya minggu,netral,1
"racuuuuuuuuuun........ kaaaaak..... 
tidaaaak..... tapi harus ditahan karna masih jerawatan...
oh GOD... please... 
seandainya itu bisa di pake buat yg acne prone ya... heheh",racun kak tahan jerawat oh god please anda pakai acne prone ya heheh,netral,1
Kesini gara2 liat video tasya yg teknik make up baru vs lama wkwkwk,kesini gara lihat video tasya teknik make up vs tertawa,netral,1
Kek pake topeng kak,kek pakai topeng kak,netral,1
"sumpah ini si tasya bikin org pengen beli aja, pinter banget promosiin nya... duh kaya iklasn lejel home shopping.. hebohhhh tp bikin pengen beli...",sumpah si tasya bikin orang beli pinter banget promosiin nya duh kaya iklasn lejel home shopping heboh bikin beli,positif,2
Juni 2020..😂,juni,netral,1
 @heylaila5745  Aku beli di shopee toko dabellezashop cari aja disitu concelaer focalure pokony,beli shopee toko dabellezashop cari situ concelaer focalure pokony,positif,2
Terlaluu Racun sih😭😭😭,terlaluu racun sih,positif,2
23 desember 2019 ada yang nonton engga,desember nonton engga,netral,1
"Nyesel bgt baru sempet nonton., padahal kmren sempet dapet notifikasi video ini.. 
Baru kesampean nonton and lgs ngeborong focallure ini.. Gak sabar nunggu datengnya",nyesel banget sempet nonton kmren sempet notifikasi video sampean nonton and lgs ngeborong focallure sabar nunggu datengnya,positif,2
makeup baguss😍 hnya sj menurut saya warna foundie nya masi keputihan yah.. apa karna powdernya yah yg putih ? overall bagusss kk👍🏻👍🏻,makeup baguss hnya sj warna foundie nya mas putih yah powdernya yah putih overall bagus kak,negatif,0
Plissss jangan terlalu meracuni seperti ini😭😭,plis racun,positif,2
2020 ada ?? gilee baru tau produknya masa wkwkwk,gilee produk tertawa,netral,1
hayy tasya sumpah ini video terlucu terhebohh n terempongs yg aku liat...salam kenal ya☺,hayy tasya sumpah video lucu terhebohh n terempongs lihat salam kenal ya,netral,1
racun sumpah😁,racun sumpah,positif,2
"bagus bangat review nya.. suka amat..  
frommalaysia",bagus bangat review nya suka frommalaysia,positif,2
I am,i am,netral,1
"Hai semua.... Cek website nshop25.com 
Banyak produk focallure yang lgi diskon lho 😍",hai cek website nshop com produk focallure lgi diskon lho,netral,1
jam 12 malam ?? ngantuk ga sih kak? kak tasya makeupin kak tasyi donk tapi yang natural (^.^; ......kakak pinyer makeup....love u always kak tasya 😊,jam malam ngantuk sih kak kak tasya makeupin kak tasyi donk natural kakak pinyer makeup love u always kak tasya,positif,2
November 2019??😍,november,netral,1
"Jual tas zara, Charles n Keith, Victoria's Secret LEBIH MURAH DAR COUNTERRR! Yuhuuu kepoin instagram @bagwithstyle yaa langsung aja WA ke 081317467191 untuk order :)",jual tas zara charles n keith victoria s secret murah dar counter yuhu poin instagram ya langsung wa order,positif,2
waahhh racun racun racuuunnnn !!!! aku beli semuaaaaaanyaaaaaaa gara2 kamuuuuuu hahaha,waah racun racun racun beli gara tertawa,positif,2
Melody victorian flashback namanya,melody victorian flashback nama,netral,1
12 Agustus 19,agustus,netral,1
yang mw nitip beli focallure lgsg dr china bs nitip aku 😁,mw nitip beli focallure lgsg china bs nitip,positif,2
Nggak tau berapa kali nonton ini. Masih suka banget 💕,kali nonton suka banget,positif,2
April 2019 hehe...,april hehe,netral,1
"Aku nonton lagi dong kak, padahal ini video udah setahun lalu🙈",nonton kak video tahun,netral,1
Klener Keks bahasa Indonesia,klener keks bahasa indonesia,netral,1
udh kek pake kamera hp xiaomi,kek pakai kamera hp xiaomi,netral,1
"""aku gamau bilang ini semua recommended tapi emang semua ini recommended"" 

this girl i swear to god😂😂😂😂😂",gamau bilang rekomendasi rekomendasi this girl i swear to god,positif,2
Gabriella Luciano gue jg...😂😂,gabriella luciano,netral,1
"Sumpaahh Emg focallure itu BAGUUSS BANGEETT. !! MURAH TP GA MURAHAN 👍
AKU kseminggu yg lalu beli single blush on , eyeshadow palette, ultra chiclip, fluid foundation, brow's pen . Aahh liat kak Tasya jadi pengen koleksi lebih banyak lgi focallure 😍😍🥰🥰😘",sumpaahh emg focallure baguuss bangeett murah murah kseminggu beli single blush on eyeshadow palette ultra chiclip fluid foundation brow s pen aahh lihat kak tasya koleksi lgi focallure,positif,2
Ka tasya cobain bikin konten challenge pake kerudung,kak tasya cobain bikin konten challenge pakai kerudung,netral,1
Kakkk terlalu putiiihh beda sama leher:(,kak putihh beda leher,netral,1
"""aku gamau bilang ini semua recommended, tapi ini semua emang recommended"" 😂😂😂👌👌👌",gamau bilang rekomendasi rekomendasi,positif,2
Aq beli brang dirim dri china harga lbih murah hmpir separonya,beli brang rim dri china harga lbih murah hmpir paro,positif,2
"tasyaaaaaaaaaaaaaaa apa""an ci loeee bikin racun aja 😭😭 sepanjang liat video loe jd baper n pinginn bange nget nget beli itu... 
sumpah suwekkkk bgt dah ahhh bikin ngiler pingin punya jg.... 😭😭😭",tasya an ci loe bikin racun lihat video loe baper n pinginn bange nget nget beli sumpah suwek banget dah ah bikin ngiler pingin,positif,2
duhhh racuuuunnn beneraannn....beli dimana tasyaaaaaa....,duh racun beneraan beli mana tasya,positif,2
"Sya,, bagi daftar product make up focallure lengkap buat blajar make up dong yang wajib punya buat praktek,, please",sya daftar product make up focallure lengkap blajar make up wajib praktek please,netral,1
"Mety Kurniayoona kl dari luar negeri emanggg lebih murah secara langsung dikirim dari sana gaperlu ngurus ini itu (bea cukai,dll) di store focallure di ÆON BSD salah satu contoh nya ngerasa lebih mahal... padahal kl dari shoppe yg dari luar lebih murah.... pinter2 bandingin harga... 🧡 karna barang2 dari cina kl dibeli langsung dari negaranya pasti lebih murah👍🏻",mety kurniayoona kl negeri murah langsung kirim gaperlu ngurus bea cukai dll store focallure on bsd salah contoh nya mahal kl shoppe murah pinter bandingin harga barang cina kl beli langsung negara murah,negatif,0
KURUS BANGET KAK!,kurus banget kak,netral,1
dan gue langsung beli eyeshadow dan highlighternya:(:(,langsung beli eyeshadow highlighternya,positif,2
Kak tasya request dong make up wisuda pake produk focalure simple dan pastinya praktis,kak tasya request make up wisuda pakai produk focalure simple pasti praktis,netral,1
Yg make over bagus kak.. hasilnya matte. Sy jg berminyakkk.. yg penting bedaknya di baking,make over bagus kak hasil matte minyak bedak baking,positif,2
Haduuuuch .. Kaka syantik bikin ak mupeng sma produk iniiii😍😍,haduch kaka syantik bikin ak mupeng sma produk,netral,1
kak beli focallure di mana?,kak beli focallure,positif,2
itu website distributor US nya sis. Produknya sendiri diproduksi di China,website distributor us nya sis produk produksi china,netral,1
kak tasya knpa lucu banget sih 😂😂,kak tasya knpa lucu banget sih,netral,1
April 2019.. ternyta ini video udh lma.. tau produknya baru skr.. emng diliat teh murah2.. smpe gk percya gue..,april ternyta video lma produk skr emng liat teh murah smpe percya,positif,2
31 Oktober 2019 baru ku tonton😂,oktober ku tonton,netral,1
Kak perasaan aku keputihan 😅😅😅,kak asa putih,negatif,0
dea adams maaf nanya oem itu gak aman ya?,dea adams maaf nanya oem aman ya,netral,1
Awal racunku pada focallure😂❤️,racun focallure,positif,2
Racunnnnn...!!! Lol,racun lol,positif,2
"gimana bisa bosen nonton video yg isinya dari awal sampe kelar menggebu gebu begini 😍
kapan bikin video sama tasyi? pasti seru bgt 💗",gimana bosen nonton video isi kelar gebu gebu bikin video tasyi seru banget,netral,1
pingin nitip beli kak,pingin nitip beli kak,positif,2
Baru liat vidio y..😁😁19 mei 2019😁😁,lihat vidio y mei,netral,1
