comment,likes,author
"15:37 mau bilang bagus banget, tapi udh sadar kalo udh bilang ""bagus bgt"" like 999999999x :((( 😭😂😂😂",0,@lyapus08
23.48 30.10.2021,0,@fitrianitengmattuppuang5313
sp yg liat ini di okt 2021..?🤣😅,0,@familybaik3341
2021 nih,0,@agrianakapa3343
Tapi seriuss foccalure keren bgt👍👍 sampek2 seserahanku fullset foccalure sebagus itu donkk❤️❤️,0,@rismada2024
baru 4th lalu,0,@sitivaromdhona6108
"Tetiba keingat video ini sebelum tidur, kemudian scroll sampe bawah 🌝 i miss this kind of bacot so much , October 2021",0,@fadilahpakaya8955
yg nonton thn 2021?,0,@salwaaaqilah4986
2021 nih hahaha,0,@putrimei5181
2021 hi!,0,@adheariyantih247
"2021 and still watch this, kangen closing zaman ini",0,@shabilaputri1279
Ada yang nonton di september 2021 ?,0,@aniss2525
2021,0,@abidsobirin8464
Lagi menjelajah vidio lama kak Tasya.. Gak nyangka sekarang punya brand make up  sendiri... Semangat kak...,0,@wulanindrawati2715
"br prtm nyobak prodak Focallure lngsng jth cnt ,, emng bgs + hrg ny murah😘...",0,@melindabwi6413
2021 here's!!!!,0,@t.i.aa.r.a
2021 nihh🙌,0,@nadiaonaddd
2021🔥,0,@zalfasalsabila6867
2021 anyone,1,@Dinda-dt8ib
https://youtu.be/gUYmdSWj7eg,0,@faysalahmed7074
"2021, plis",0,@hapsahazzahra3508
Luvvv,0,@hostalbonita
2021? Anyone ? 😬,0,@mahalestine7793
2021 baru liat😭😭,0,@miftahulkhairayanni80
juli 2021 ?,0,@roslina5617
2021 baru nonton,0,@marifahsholicha4760
2021 mantep!!,0,@indahseptiyanilampura9881
"Bagus karena ada Maskaranya &. Eyeliner ya
Kalo gak pakek Make up (Eye nya) malah Ketebelan🤢 (emotikon x becanda)
😭",0,@ninanina-bc6lk
Lebih Cantik Gak usah Pakek make up,0,@ninanina-bc6lk
Kemenoran Make up nya,0,@ninanina-bc6lk
Juni 2021 anyone?? 😂,0,@nitapuspita4044
2021😂,0,@rizaquthrotunada
2021 :),0,@indiraghita2758
2021 here,0,@ascella7176
2021 doong like 😅💃,0,@dewibetandfams2617
"Jadi beli focallurre deh, ngikutin kak tasya",0,@intansalon_makeup3006
"Baru nonton 2021, dan skrg harganya ada yg diatas 200 heheh",0,@melindamoo2553
2021 masi Ada yg liat?????😂,0,@selvikurniawati9334
2021 mei here🙂,0,@tatadut
2021 baru dateng🤭,0,@Huntingmainandepok
2021 beda beut kak tasya,0,@_b2651
Mei 2021 nonton ini.. sini kumpul,1,@ikamaratus6746
2021 woyyy,0,@nazwafau8219
2021 nih😂,0,@meyyyyyy8639
2021,0,@farahraflizha
hi 2021,0,@nadifulfia5290
2021,0,@Cami_mendes-l1z
2021 anyone??,0,@tapmesonic9212
Siapa yg sama kek aq br nonton tahun 2021 hahaha,0,@tehochamozza8261
"Ka tasyaa tibaa"" nemu ini di april 2021 wkwk katasya masih imut bangetssss 😭😍",0,@rusmakamila1982
KA riview make up otwoo KA🙏,0,@zahranursakinah4868
2021 wkwk,1,@hildanurislami1611
2021 ?,0,@nanajaemin7861
2021,0,@x.najaeminvii6917
2021 anyone🙂,0,@rmoonbaby6918
Maret ada nih ??,0,@berihampersid
2021😂,0,@aidafitrizahra6051
Baru nntn ini di 2021.. ada yg sma?,0,@lusianalestari7
2021.,1,@22-mahadewiraissa-7g4
Aku nonton di 2021😭 maaf tekat 3 tahun 😭,0,@ghanirdharma8374
2021🤣,0,@vincarolinne6880
Aku baru tau skrg...& Aku bli cuma 42rb...super amaziiiinggg...,0,@valvinfamily9518
2021 ☺️,0,@Kim-zi1qb
2021 anyone 🤣🤪,0,@geofaniaching225
March 2021,0,@bellachintiaharahap6174
2021??,0,@baiqanisasolatisafira8562
Mana yg nonton 2021 🙂,0,@salwamaurizaa1527
2021 baru nonton 😂😂😂,0,@qhiena03
2021,0,@strangerfromhell7311
2021 maap🤣,0,@isnaenimaulidya3026
"Selamat Pagi/Siang/Sore

Perkenalkan nama saya Yuni Astuti mahasiswi Public Relations Universitas Mercu Buana yang sedang melakukan penelitian mengenai Pengaruh Penggunaan Youtube One Brand Make Up Tutorial Tasya Farasya Terhadap Peningkatan Citra Focallure untuk keperluan Tugas Akhir S1 yang saat ini saya jalani.

Adapun kriteria dalam penelitian adalah sebagai berikut:
1.	Perempuan
2.	Berusia 18-34 tahun
3.	Viewers video One Brand Make Up Tutorial “Focallure” Tasya Farasya

Saya berharap Saudari memberikan kesediaan waktunya untuk berpartisipasi dalam menjawab kuesioner ini secara tepat. 

Berikut Link untuk pengisian google form : 
https://forms.gle/2iozvxZxMybdjVd19

Atas bantuan kalian dalam pengisian kuesioner ini, saya ucapkan terimakasih.",0,@yuniastuti9958
2021 here?,0,@infomakeup5975
2021 guys?😂😂😂,0,@anisawawidya6415
"Makin sini makin muda😭
Btw 2021",0,@mutsukihiruzumi3989
17 februari 2021 :),1,@egitabudianasetiawati3269
Dulu udh nonton trs balik nonton lagi liat tasya Disini kurus bgt,0,@nadiananf3501
"Karena nonton Tasya aku jadi otw beli Focallure, dan jadi suka banget sama Focallure.",1,@fsesshorin9931
Februari 2021 dong :),1,@zalfaqirani1105
februari 2021🙏,2,@sobrinawahidah1111
"Ada yg masih lihat tutorial makeup nya bulan februari 2021, kallo ada kita satu server 🤭😁",0,@novitaerlin5248
2021😄,1,@inesegiyana4061
Yang baru nonton 2021 😭❤,1,@ebveronicaw6194
"OMG!!!! Kak Tasyaaaaaa.... Kk tau gak sih???? Video kk ini thumbnail nya di jadiiin foto sama Official Focallure di aplikasi olshop China 😱😱😱 btw aku tinggal di China, salam kenal ya kak 🥰🤗😘

Keren abis sumpah 👏👏",1,@madamlucy88
2021,0,@suciramadhani37
Pasti gaada yang nonton di 2021,1,@alyssasofiaainunnisya4603
"Haiii :v
~ 2021 ( masa depan ) wkwk",0,@sellyayufernanda8110
Februari 2021,0,@raquelsarang
2021 ??,0,@juharlhani_1883
2021😂,0,@papiucil6778
bisa bisanya aku telat 3 tahunnn omg,0,@erinaarumie
2021? Anyone?,0,@ciasilaban933
2021 masih nonton🤗,0,@incesslaila8491
Jan 2021 😂,0,@nanasetya6738
Liat 2021 belaik 👁️👄👁️👂,0,@afiyahatt2180
Ada yang liat ulang 2021 gaa? Ato baru liat?,0,@adelyalestari3539
2021 anyone?,0,@ayamgoreng1273
Januari 2021 😂,0,@anjanibink7112
anjim gue liat di taun 2021 😭,1,@ipungyunitaaa6518
2021,0,@xiimia1_17_nabilayessymarc5
2021 anyone??😂,1,@areumiwenyy
"2021 nih, ada yg baru nonton juga?",1,@auliamarwahparadhiba
aku 2024 baru nonton😭,0,@miaamelia3807
Aku baru liat,1,@fikafika5409
Aku wkwk,0,@alifyafarahusna2812
2021 ada?😆,1,@nurindahsari4380
2021 hehe,2,@kailla3369
"2021 :')
Here I am",0,@MutiahAlidrus
2021,0,@WindaHanda
2021 Hai,0,@dorisuliana1746
31 desember 2020,0,@dheboramardiana
2020,0,@kakang.official-o5y
Desember 2020,0,@nadinediana691
Ka belanja bulanan plisss🙏,0,@devaalrizki9577
😁🤣,0,@leksukijo
2020 check?!! 😅,0,@putrins8957
Wkwkwkwkkw semuka Sejuta pun nyampe itu neng..😂😂😂,0,@lilassaultriffle7266
"Shopee 12.12 2020, beli pas diskon gede gedean saking ga percaya nya brand murah banget  20-50 ribuan tapi dari luar negeri makannya nyari nyari review dan aku nemu ini ternyata konten 3 tahun lalu.",1,@tri_4n
8 desember 2020,0,@zeatria9557
Perfect.,0,@saqwop5615
Nancy + somi = tasya,0,@imagrass472
November 2020 😂,0,@alsasalsabila5781
Keputian ga sih,0,@jesslynn7933
Okt 2020 😌,0,@syarifahnurazizah3645
Jelek bacot lagi,0,@sayedjulihan4904
Bedak tabur nya apa yaah..di cari gak ada,0,@chacabia5016
Kk..powder nya apa sih itu..ko q cari gak ada,0,@chacabia5016
November 2020,0,@septivirgo6328
Nonton pas tahun 2020 okctober,0,@cinnamonroll8580
lightingnya keterangan ga si,0,@14_9c_insviradwin8
23 oktober 2020 😊,0,@nurmlia2429
Nonton tasya dari gadis sampe punya Lily..,0,@Geulissitarin
Itu keputihan atau gimana?,0,@fitriismayantiparawangsaPAR08
Oktober 2020😂,1,@noviaekaputri8554
2020❤,0,@sfyntmrw2953
Oktober 2020,0,@intanpurnomo2807
October 2020 :),1,@rzkns8646
Oktober 2020 :),0,@__putriaisyahcahyani223__
"Pengen beli make up tapi uangnya ga punya? Sekarang kita bisa menghasilkan uang dari rumah pake hp loh dengan aplikasi cashzine sudah di unduh lebih dari 10JT kali di playstore tanpa modal & tanpa KTP aku udah buktiin sendiri hanya dengan membaca artikel dan banyak kuis lainnya lumayan sambil rebahan dapet uang yuk download!!

Bisa pake kode aku : 21813393 🤗
Auto dapet 8000 koin gratis!

Thanks✨",0,@tiasafitri5203
Yang nonton pas Okt 2020 angkat tangan😂,0,@yulianti6950
September 2020😅😁,0,@kittyamorha2881
Ngefans❤️❤️❤️,0,@florenflower1112
What is this languagee??? <3,0,@sineray7579
Nonton ulang ini skrg kak tasya udah punya lilly 😂,3,@afifahyuliani3928
Siapa nnton quarantine,2,@nurulfauziah8782
Kesini gara2 liat video tasya yg teknik make up baru vs lama wkwkwk,2,@ricakesuma3865
Aku baru tau kalo focallure dah lama ..aku jg pke murah bagus lg,1,@ekowawasobang4489
Wkwk gue nonton ini dong di 2020🙃,1,@Anispujiii
"Mau belajar make-up , kayanya wajib bli produk Focollur . Tapi harga di Taiwan agak mehong kak",1,@ellawinarsih4326
Terang bt ya kak jaman dulu,1,@katvindwisiehprasetiobekti8838
Bagi makeupnya dong kak,0,@luismaharani1894
Kak coba pake merk oriflame aku pernah coba itu bagus banget merk nya itu juga punya  auntyku 😊,0,@nabilaauliakhanza7461
Is there no english subtitles 🥺,0,@krystal686
Ka kapan give away make up nya,0,@ishasubagja2297
"Selamat malam untuk para viewers Focallure On Brand Makeup Tuorial Ka Tasya, dan untuk para subscriber Ka Tasya. Aku lagi penelitian untuk skripsi kebetulan berkaitan dgn focallure one brand makeup tutorial ka Tasya, dan studi kasus nya pada viewers video Ka Tasya. Karna itu aku mohon bantuannya untuk pengisian kuesioner nya ya:) berikut link nya, https://forms.gle/tBMn5Lv911eSCFxWA . Terimakasih<3",0,@pujakartika4126
2020 di muncul beranda ngumpul,0,@pan3061
Tengkyu kak duh otw beli pokoknya,0,@Azellbermain
Aku baru nonton di tahun 2020,0,@ifamuzdalifah8087
2020🤣,0,@naomisyu6697
She’s so pretty but i cannot understand what does she say:(,0,@genevievebui5223
"ka Tasya,,Lighting nya terlalu teraaangg ...",0,@nandosanjaya2741
"kak, bisa engga pose kayak gitu engga di thumbnailnya? hehe krn aku jujur aja sebagai org yang keturunan cina yg tinggal di indonesia merasa tersindir. karena jujur aja pose itu rasis",0,@clarissa3356
Focallure dan implora Auto aq lngsng bli sejak pantengin tasya horang kaya dn gk sombong Farasya🤣🤣🤣,0,@sisnurul5230
aku yg lihat di 2020 quarantine : 👁👄👁,0,@ilsssea
"Bagi aku mahal kalo beli lengkap, tapi murah klo beli satuan:')",2,@selalalaarttt6912
Nonton tadi pagi. Siang langsung beli😂. Bener2 kak Tasya kasih racun,0,@eminovitasari7479
26 juni 2020 ada yg masih nonton 😁😍,0,@puputnurdiansafitri8840
"Video tasya pertama yg ak liat  pas ak kuliah, sekarang ak udh nikah dan hamil jg ky tasya",1,@ainirizqiyapramesti367
Lebay bgt sihh ngomongnya,0,@hanyapriyanti5055
Make up beli dipasar dong,0,@nadiatulshafiqoh3010
Kak makeup di bawah 20 ribu dong,0,@anandariski1474
Juni 2020..😂,1,@auulials
2020 ada yang masih nonton kah 😂😂,1,@dheira8413
Bru nonton hehe,0,@putridhyasayuprameswari3244
Gua baru lihat d bulan juli 2020 gara gara d beliin doi 1 set make up focallure,0,@ayumudrikahalmuzamzamah4210
Keputihan bgt si,0,@lutfitempursari7783
gaada yg peduli lu mau nonton di bulan apa dan tahun apa.,0,@thalia7688
Gabosen rewatch video ka Tasya yang iniii🥰🥰🥰✨,2,@salshanurfadilah8137
15. 38😄😄😄,0,@vivian_nyssa_lucida
yang nonton bulan ramadhan?👍😂,0,@dinaafz
Awal racunku pada focallure😂❤️,0,@kimbaekhna2529
Uwu bgt,1,@renipuspitadewi873
mei 2020(((:,0,@nalasatti2188
Ahhhh ka tasyaa makeup nya baguss bngtt sumpahh. Tapi kalo aku sendiri lebih suka yg sebelum pake lipstik gtu hehe,0,@hanilaelani3802
"Pengin belajar make up.  Tapi gak punya apa2.  :(
Pingin buka jasa make up pengantin",0,@sarinahaii9982
2021???,0,@nadyafebrianti5315
Ada yang nonton 2020 bulan Mei?,0,@sabilaaulia2040
April 2020 mAsih nonton mana suaranya,1,@faridahnazwakharam9737
Ligcawesdxzsddrty,0,@novaauliatulfitrifitri1713
Mascaranya waterproof ga si kak,0,@nanaalvinaa5569
Kalau make up jya aja ngelebihin MUA plus pinter dandan nikahan gak usah panggil salon😂,1,@nurulistikomah9606
"Beli make up kayak gini 1.114.00 juta tapi worth it sih
Tanpa onkir loh",1,@ruthaprilia0909
April 2020 anyone here?,0,@farizag8615
Baru liat 2020,0,@febimonica9526
Mba pernah ada yg bilang mirip Elizabeth Gillies ngga?,0,@juleszszsz
Sudah 3 tahun yg lalu.. Waktu begitu cepat berlalu ya.. Waktu dulu nonton masih anak satu. Sekarang nonton lagi sudah anak dua.. Dan yg punya channel sudah hamil tua. Huwaahhh can't wait to see you ngemong anak tasy. Hihi. Masih punya banyak waktu ga ya buat make up? Hehehe,2,@Mamisyar
8 april 2020 Duns,0,@feliciazefanya1803
"kakk rainbow highlighter yang kakak pake aku punya juga lhoo
hihihi",0,@elenalydia1315
april 2020 when corona,0,@blessintajoice1074
April 2020? 🤣,0,@divaputi1714
2020 ada ?? gilee baru tau produknya masa wkwkwk,2,@fatrisialorentamarpaung3007
Kalo foundation nya bagus ga kak?,0,@putrieviita3733
Gua baru beli hari ini produk focallur,0,@imasdarurrokhmah614
"2 tahun lalu  
Gua: hahhhh😮🤪😶",0,@cwemu7530
2020 bulan Maret:),0,@cindytheresia6234
Bagi kami itu mahal. 🙂,0,@englaoktaviska9378
Kak kira2 ini tahan gak buat wisuda???,0,@meriyanti5980
Racun,0,@tripamungkas9025
"kaa,higl nya itu boleh buat anak smp gak ka bantu jawab ya",0,@shi_s-j7w
"video nya byk yg di skip, tiba2 jd gitu",0,@strawberryteamajauy
Katanya poweder nya anti air,0,@zaedbinwahab5558
yang mau coba focallure bisa beli di ig @samsteur 💕,0,@SammyTheresia
aku kayak liat shirin.  cara ngomongnya pun samaaa,0,@meilisalsabila
Kalo Tasya dari 2017 dan gue baru liat di akhir Februari 2020😂,0,@akunyoutubekuu
Eyeliner focallur ku ilang..  😔,0,@dessywinterhill4971
Bagaimna pun makeupnya kalo orangnya bisa makeup dan cantik yah Bagus,0,@ads2796
February 2020?,0,@nandayudheaputri4621
Eyeshadow palet lebih kok kak dri 100 ribu,0,@indahkusumawardani9806
Aku dong bingung nyari2 makeup buat seserahan dan baru sekarang tau ni merek makeup.. 2020 🤣🤣,0,@noorhasanah3588
"Hallo semuanya.. Nama saya Michele Tezser, mahasiswi Public Relations  Universitas Mercu Buana. 
Saya ingin meminta kesediaan temen-temen Youtube khususnya para subscriber kak Tasya Farasya untuk mengisi kuesioner tentang pengaruh celebrity endorser terhadap brand image Focallure  dalam rangka memenuhi Tugas Akhir saya.
Berikut saya lampirkan link google form utk pengisian kuesioner nya ya teman-teman:
https://docs.google.com/forms/d/e/1FAIpQLSd9yuthu9c9sX4GV2C9hZqPQ2qbYzF1VickOqcHQL1Qlg_uPQ/viewform?usp=sf_link

Terima Kasih. Semoga teman-teman semua sehat dan dilancarkan selalu rezeki nya. Aaamiinn",0,@michelletezser4651
Baru liat di januari 2020😶,1,@farahcalluella9035
Duh cantik bgt... Maksudnya orang nya... Blm makeup aja udah cantik...,0,@andrijaniani4244
"Beli di shoope yg di luar negri gt , itu aman ga sih maksudnya ga palsu kan ?",0,@rachmaavirra1335
11 januari 2020😄😄,0,@erikaindahmawarni4339
“sumpah aku biasanya pake barang mahal” hadeuu kak oper aja deh brg kk kl yg mahal bisa ditandingin yg murah😭😂,0,@hsnulkhtmah
"Ini review tahun brp ? Jd sejarahnya, abis direview tasya, focallure jd lebih booming trus mrk naekin harga.",0,@firdaussetiawan3534
Beli di official ya lah,0,@asmarhusein1812
 @asmarhusein1812  santuy bossss,0,@rachmaavirra1335
"2k20 hmmm:"")",0,@artikasari9443
"Kak, aku liat d shopee kok hrganya mahal2 ya trus ars fashion yg di tangerang ga buka di shopee apa? Ongkirnya jd mahal bgt klo dari pontianak :(",0,@Narayanamasfaputri
"Entah ini vidio berapa tahun yg lalu,aku baru nonton 2020",1,@irnapalebee1462
Highliter powder nya juga bgus kokk,0,@ditaa5427
2020,0,@mrsableng3071
2020 anyone?  😂😂😂,1K,@liztr94
"Santuy, gua baru liat di hari pertama tahun 2020",0,@adiskaorvam6460
"01-01-2020
09:09",1,@dewifortuna6937
1 januari 2020.,0,@santinurjanah6776
"yaampun aku baru nonton 31 Desember 2019 ,btw bsk tahun baru 💞",1,@ochaasoka0098
"Kesini karena diskon lazada akhir tahun 2019, gila 😂",1,@missa1197
Yg kemenit 14:59 suaranya heeeee nyeremin kak,0,@letsnanaytutorial3154
Adakah yang jual tepung di sini,0,@mulaimall5216
27 disember 2019 🙂🔥,2,@itsmenia569
Low price & high quality cek ig @als_cosmetic,0,@arifrahmanhakim8109
23 desember 2019 ada yang nonton engga,2,@ulfahkardini1707
"21 Desember 2019 ada yang baru nonton? 

Keracunan shopee 🤣",31,@anggasaputra4703
Berasa liat barbara palvin,0,@sapiarab3196
"Apa cuma gue yang ngerasa harga focallure naik tajam rata"" diatas 100k",0,@Trilaulaa
Tpi pallet buerning lebih dri 100??,0,@amandajs5476
2022,2,@_alyasafiraa
Kuu:v,1,@febriliaa5217
Ak,1,@pelangitirtaamelia_adminis9152
Kiww,1,@callmeecha3090
Akuu,1,@malaikaalmadina2936
me,1,@babysindah9395
Gw ✌️,1,@putrie.sanjung6810
akuuuu😂 baru batt nontonn,1,@kiaaminta6826
Kyuuu,1,@maur1nk_938
W,1,@nayangsari2683
Me,1,@jussyaarshy5890
Akuu,1,@hartinimenantii4910
3 September 2020 hadir,1,@yyoooii
2021😂,1,@dinardeniarrosdiana4794
2022 ka 🤣,1,@biandarialmeera2515
"akuu, mau tanya dong kak kok aku beli lipstik nya bau gk enak gitu, knpa yah? eyeshadow pencil nya jg klo dipake mata agak panas?? bantu jawab dong pls",0,@syfapvnse3242
 @syfapvnse3242  order dimana itu kak?,0,@auliapinky9611
Belinya dimana ya. Gw ngerasa pake yg palsu 😥,0,@ceritacipe4666
Kak Cips beli di shopee yg official shop itu dr luar negeri ^^,1,@ilsssea
" @ceritacipe4666  kalo beli di olshop harus hati hati jangan lupa liatin komentar pembeli nya gimana bagus apa ngga, kalo di lampung aku tau star seller yang bagus namanya sumber ayu dishoppe ada di ig nya juga ada, bahkan toko nya pun jelas tempatnya jadi aman",0,@dinasaen4663
Ya karna muncul di beranda lagi kali ya,0,@tudechaksu9424
Ya,0,@ZeR0_Yuki
I am,0,@hanarch93
Akiu,0,@savirafaradinar8097
Hey,0,@Auvrayn
Yoow ✌,0,@annasmaruf2675
Mee,0,@loveu2232
Meh,0,@sierraapritta8059
Me,0,@flely2728
😂😂ak,0,@cpmaretha
Here I Am  👌😂😁💋💞💖,0,@elokfaiqikhtiari6357
Saya kaget melihat nya:),0,@Shellyethefish
Yuk order di shopee ku nrahmadw produk focallure & o two o murah2 original🥰,0,@rahmadewi8796
Me😹,0,@imasetiawan3657
2021 bru nontn. 😂,0,@arkhaarsya5912
Aku 2021😭😭😭,0,@22-mahadewiraissa-7g4
2021 😂😂,0,@putrisilviani8298
2021.__.,0,@asmaradhna
https://youtu.be/gUYmdSWj7eg,0,@faysalahmed7074
2021 🤭🤭,0,@dhiyaanmusaddad2331
2021 🤣,0,@Chemistryselaludihati
W nonton ini 2021 beb,0,@khansa5048
Sekarang udah 2021 menuju 2022,0,@gunawantangkas6528
UU,0,@suciaticahyani7395
2021anyone,0,@sumaiyaislam9368
Who is she? I am following her but I don't about her?,0,@funtv9610
2022 nih,0,@dellasukma5264
2022,0,@monotysmjournal2493
8/2022,0,@farahlee5582
2024,0,@wisnuaditya3037
Aku 2024 kak wkwkwk,0,@SitiNurhasanah-l4c
2025😂,0,@nandirashafira558
Engga,0,@nadirabarawass1807
gue 🤣,0,@hallowulan24
Justru lebih murah .. Q beli d shopee lgsg dr officialstore nya focallure.,0,@sitihelda3835
baru beli di desember 2019 tau dr akhir 2018:) duit mana duit,2,@alyanurminda
Bagusss😴😴😴💜,0,@hilyaazzahra2930
Kalem la sis.. gua nonton dibulan desember 2019 wkwkw,9,@huangsintia5510
Desember 2019 gw,0,@mochsyahidin3585
"Aku lihat desember 2019,dulu juga nonton gk bosan2 lucu Tasya ngomongnya,,hasilnya bagus cantik",1,@LisaWidjaksono83Arby
"Olá, sou do Brasil e caso você tenha condições, habilite a tecla de legendas automáticas com tradução em seus vídeos! Pois assim, poderemos entender melhor ainda seus tutoriais, amo suas maquiagens! Parabéns!",9,@adrianafrittella
Aku nonton karna aku mau beli makeupnya dan nemu vidionya kak tasya😘😁😁 2019,0,@cindympus4810
Ini dirilis pas ak ultah nih wkwk:v,0,@kimais310
"bikin yang baru dong kak, yang produk barunya focallure",0,@eteyyyyyyyyyy
"Sumpaahh Emg focallure itu BAGUUSS BANGEETT. !! MURAH TP GA MURAHAN 👍
AKU kseminggu yg lalu beli single blush on , eyeshadow palette, ultra chiclip, fluid foundation, brow's pen . Aahh liat kak Tasya jadi pengen koleksi lebih banyak lgi focallure 😍😍🥰🥰😘",0,@yuliambarwati307
"Gatau kenapa aku suka banget nontonin video ini berulang kali..
Padahal uda pernah nonton..
Soalnya bener2 se-hipe itu sih.
Dari sekian banyaknya one brand focallure, gatau kenapa suka videonya kak tasya ❤️",1,@elsamarhaenidamayanti
"Nov 2019, gegara kaget liat di internet menjamur ini semua dgn budget murmer.",1,@misri2695
2019 nob,1,@nurindahstyani9007
"Alay deh yg bilang ""ada yg nontn dibulan ini ga and blablabla."" nyampah.",64,@astripratiwiyu7335
Bosenin,0,@dindaterre8444
"""aku gamau bilang ini semua recommended tapi ini semua emang recommended""",6,@novitaanggraini8033
Mirip mamanya kak tasya kalo make up gini,0,@sellymonika17
November 2019??😍,12,@sucirizkysyahputri6320
Aku baru nonton ini 2019 bulan November😂,5,@MoeundiTV
31 Oktober 2019 baru ku tonton😂,0,@ifanafida776
Bener .  Brisik banget,0,@janeyan5540
Biarin lah. Galak amat,2,@a.gustin758
Paan sih lo.,0,@septyasdwiastuti4922
Ogebb lu,0,@shineee1692
Dih gaje,0,@Ranita1911
Bikin tutorial makeup one brand Imagic kak.,0,@jessycatuneymahidi4667
2:10,0,@kevz857
Menor bgt,0,@zulfaafa1933
23 Oktober 2019,1,@NandaMartiyaWardani
Oktober 2019 😅😅 beljr make up,0,@helloitsmedla
"Baru nonton 21 oktober 2019 , karena penasaran sama liquid eyeliner nya focallure , eh ternyata benerran murah 😆",0,@FirlyFizkiR
Waw..waw..🤩,0,@Fennysa-b1l
Hello kak ! aku dari malaysia tapi fans banget sama kak tasya !!! love banget !!!!!!!!!!! 😘😘😘😘,0,@aishanaziha5245
"Mendadak kangen liat old videonya tasya. Gatau knp atmosfernya beda pas jaman2 belum seterkenal sekarang. Tp gpp, aq tetep cintaaa💓",0,@wiwinwulandari5907
Focallur sudah ada di Inone Store MOI,0,@asnawihutabarat1788
"Kak, abis tutorial barangnya kasih ke aku aja😂 udah gak kk pake kan",0,@dewilestari8466
tks mba tasya sdh bikin video one brand and cheap prise. in shaa allah aku akan forward k sdr n temen2. I am so proud of you who always give your experiance and good tips...👍👍,2,@faridamunawar4284
"Dr awal vidio gw resep bgt liat mulut nya Tasya ngmg kya ada berat2nya tp lincah ngmgnya, trnyta Tasya prnh pake behel",0,@afnianggrainy6603
September 17 2019 ❤,0,@irwanquxtc4602
"Kak bikin video 1 swatch make up dong kak, kayanya belum ada yang buat",0,@naylabungapr
Aku beli concelernya cuman 25k,0,@ikhsanbagaskara9142
September 2019 krn ad promo d shopee.. omg,1,@mitasri8171
Buat tutor make up full make up hera dong kk,0,@iqnbl30
Ada yang liat 2019 bulan september kah seperti aku :'D?,60,@dirafadhillah6409
2019 september???🙌,0,@elsaputriy3820
Aku malah 23 oktoberrr🤣,0,@aushafilmahmuda5084
Nonton ini krna timbul di beranda 😂😅,0,@verensalehati3594
jam 12 malam ?? ngantuk ga sih kak? kak tasya makeupin kak tasyi donk tapi yang natural (^.^; ......kakak pinyer makeup....love u always kak tasya 😊,0,@linjianalaricjabbar5347
